,1. open,2. high,3. low,4. close,5. volume,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,date
0,412.26,413.05,406.4501,408.59,33477610.0,2023-12-31,2024-01-30,2.93,2.78,0.15,5.3957,2024-01-30
1,331.3,331.84,327.6,330.53,31153571.0,2023-09-30,2023-10-24,2.99,2.65,0.34,12.8302,2023-10-24
2,347.11,351.89,345.07,350.98,41637739.0,2023-06-30,2023-07-25,2.69,2.55,0.14,5.4902,2023-07-25
3,279.51,281.6,275.37,275.42,45772236.0,2023-03-31,2023-04-25,2.45,2.23,0.22,9.8655,2023-04-25
4,242.5,243.95,240.44,242.04,40234444.0,2022-12-31,2023-01-24,2.32,2.29,0.03,1.31,2023-01-24
5,247.26,251.04,245.83,250.66,34775505.0,2022-09-30,2022-10-25,2.35,2.3,0.05,2.1739,2022-10-25
6,259.86,259.88,249.57,251.9,39347957.0,2022-06-30,2022-07-26,2.23,2.29,-0.06,-2.6201,2022-07-26
7,277.5,278.3599,270.0,270.22,42047008.0,2022-03-31,2022-04-26,2.22,2.19,0.03,1.3699,2022-04-26
8,291.52,294.99,285.17,288.49,72848638.0,2021-12-31,2022-01-25,2.48,2.31,0.17,7.3593,2022-01-25
9,311.0,312.395,308.5967,310.11,28107349.0,2021-09-30,2021-10-26,2.27,2.07,0.2,9.6618,2021-10-26
10,289.43,289.575,282.95,286.54,33604073.0,2021-06-30,2021-07-27,2.17,1.92,0.25,13.0208,2021-07-27
11,261.585,263.19,260.12,261.97,31014213.0,2021-03-31,2021-04-27,1.95,1.78,0.17,9.5506,2021-04-27
12,231.86,234.18,230.08,232.33,49169601.0,2020-12-31,2021-01-26,2.03,1.64,0.39,23.7805,2021-01-26
13,211.59,214.67,210.329,213.25,36700325.0,2020-09-30,2020-10-27,1.82,1.54,0.28,18.1818,2020-10-27
14,209.2,212.3,208.39,211.75,49605692.0,2020-06-30,2020-07-22,1.46,1.34,0.12,8.9552,2020-07-22
15,173.22,177.68,171.88,177.43,51286559.0,2020-03-31,2020-04-29,1.4,1.26,0.14,11.1111,2020-04-29
16,167.84,168.75,165.69,168.04,35127771.0,2019-12-31,2020-01-29,1.51,1.32,0.19,14.3939,2020-01-29
17,136.88,137.45,135.61,137.24,31380309.0,2019-09-30,2019-10-23,1.38,1.25,0.13,10.4,2019-10-23
18,135.55,136.62,134.67,136.42,30808707.0,2019-06-30,2019-07-18,1.37,1.21,0.16,13.2231,2019-07-18
19,125.79,125.85,124.52,125.01,31256980.0,2019-03-31,2019-04-24,1.14,1,0.14,14,2019-04-24
20,104.62,106.38,104.33,106.38,49471866.0,2018-12-31,2019-01-30,1.1,1.09,0.01,0.9174,2019-01-30
21,108.41,108.49,101.59,102.32,63897759.0,2018-09-30,2018-10-24,1.14,0.96,0.18,18.75,2018-10-24
22,104.93,105.31,103.89,104.4,40171646.0,2018-06-30,2018-07-19,1.13,1.08,0.05,4.6296,2018-07-19
