,1. open,2. high,3. low,4. close,5. volume,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,date
0,501.26,505.17,492.22,499.44,56574687.0,2023-10-31,2023-11-21,4.02,3.37,0.65,19.2878,2023-11-21
1,458.66,472.0,452.08,471.16,77904608.0,2023-07-31,2023-08-23,2.7,2.09,0.61,29.1866,2023-08-23
2,302.1,306.07,298.06,305.38,72141851.0,2023-04-30,2023-05-24,1.09,0.92,0.17,18.4783,2023-05-24
3,207.07,211.04,204.21,207.54,51318432.0,2023-01-31,2023-02-22,0.88,0.81,0.07,8.642,2023-02-22
4,161.615,163.62,158.73,159.1,64954684.0,2022-10-31,2022-11-16,0.58,0.69,-0.11,-15.942,2022-11-16
5,170.12,174.06,168.95,172.22,52266071.0,2022-07-31,2022-08-24,0.51,1.26,-0.75,-59.5238,2022-08-24
6,160.2,171.1099,160.0,169.75,78113190.0,2022-04-30,2022-05-25,1.36,1.29,0.07,5.4264,2022-05-25
7,262.59,265.82,255.52,265.11,73267633.0,2022-01-31,2022-02-16,1.32,1.22,0.1,8.1967,2022-02-16
8,304.18,305.09,288.0,292.61,42850799.0,2021-10-31,2021-11-17,1.17,1.11,0.06,5.4054,2021-11-17
9,195.0,196.3365,190.0,190.4,28591348.0,2021-07-31,2021-08-18,1.04,1.01,0.03,2.9703,2021-08-18
10,629.37,631.75,623.45,628.0,9260966.0,2021-04-30,2021-05-26,0.92,0.82,0.1,12.1951,2021-05-26
11,564.91,580.27,550.24,579.96,11207977.0,2021-01-31,2021-02-24,0.78,0.7,0.08,11.4286,2021-02-24
12,538.61,544.23,527.4,537.15,12773133.0,2020-10-31,2020-11-18,0.73,0.64,0.09,14.0625,2020-11-18
13,491.86,492.6,483.92,485.54,15565558.0,2020-07-31,2020-08-19,0.55,0.49,0.06,12.2449,2020-08-19
14,362.06,362.1,349.5,351.01,17552200.0,2020-04-30,2020-05-21,0.45,0.42,0.03,7.1429,2020-05-21
15,270.21,273.48,269.11,270.78,13200384.0,2020-01-31,2020-02-13,0.47,0.42,0.05,11.9048,2020-02-13
16,208.93,209.88,206.52,209.79,13175171.0,2019-10-31,2019-11-14,0.45,0.39,0.06,15.3846,2019-11-14
17,150.83,151.63,147.39,148.77,13861551.0,2019-07-31,2019-08-15,0.31,0.29,0.02,6.8966,2019-08-15
18,159.36,161.91,157.65,160.19,19527204.0,2019-04-30,2019-05-16,0.22,0.2,0.02,10,2019-05-16
19,152.84,155.67,151.1,154.53,20681574.0,2019-01-31,2019-02-14,0.2,0.19,0.01,5.2632,2019-02-14
20,196.95,205.3,195.5,202.39,21017716.0,2018-10-31,2018-11-15,0.46,0.47,-0.01,-2.1277,2018-11-15
21,261.9,262.0,255.01,257.44,20031476.0,2018-07-31,2018-08-16,0.49,0.44,0.05,11.3636,2018-08-16
22,257.92,260.5,257.2,260.13,24852029.0,2018-04-30,2018-05-10,0.51,0.4,0.11,27.5,2018-05-10
23,233.88,235.22,217.51,217.52,21664353.0,2018-01-31,2018-02-08,0.39,0.29,0.1,34.4828,2018-02-08
24,205.27,206.33,200.37,205.32,20123846.0,2017-10-31,2017-11-09,0.33,0.24,0.09,37.5,2017-11-09
25,172.16,172.66,164.33,164.74,26065538.0,2017-07-31,2017-08-10,0.23,0.17,0.06,35.2941,2017-08-10
26,103.0,104.93,102.66,102.94,13796401.0,2017-04-30,2017-05-09,0.2,0.16,0.04,25,2017-05-09
27,118.86,119.06,115.6,116.38,21064178.0,2017-01-31,2017-02-09,0.25,0.21,0.04,19.0476,2017-02-09
28,71.49,71.5,66.76,67.77,21732039.0,2016-10-31,2016-11-10,0.21,0.14,0.07,50,2016-11-10
29,58.82,59.95,58.7,59.7,17026556.0,2016-07-31,2016-08-11,0.1,0.09,0.01,11.1111,2016-08-11
30,36.32,36.48,34.93,35.57,16763533.0,2016-04-30,2016-05-12,0.08,0.08,0,0,2016-05-12
31,27.33,27.92,27.22,27.66,19286666.0,2016-01-31,2016-02-17,0.09,0.08,0.01,12.5,2016-02-17
32,28.17,28.245,27.63,27.71,11969974.0,2015-10-31,2015-11-05,0.11,0.06,0.05,83.3333,2015-11-05
33,20.53,20.68,20.11,20.45,16391890.0,2015-07-31,2015-08-06,0.04,0.03,0.01,33.3333,2015-08-06
34,22.01,22.56,21.9401,22.49,13364077.0,2015-04-30,2015-05-07,0.06,0.06,0,0,2015-05-07
35,21.0,21.0,20.67,20.81,8020778.0,2015-01-31,2015-02-11,0.09,0.07,0.02,28.5714,2015-02-11
36,20.17,20.25,19.86,20.22,9852201.0,2014-10-31,2014-11-06,0.08,0.07,0.01,14.2857,2014-11-06
37,17.79,17.95,17.34,17.46,10192400.0,2014-07-31,2014-08-07,0.06,0.05,0.01,20,2014-08-07
