,1. open,2. high,3. low,4. close,5. volume,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,date
0,158.75,159.45,155.5,156.04,32552864.0,2023-10-31,2023-11-16,1.53,1.52,0.01,0.6579,2023-11-16
1,160.9,161.14,155.02,155.69,17871434.0,2023-07-31,2023-08-17,1.84,1.71,0.13,7.6023,2023-08-17
2,151.8,154.29,149.95,151.47,15589523.0,2023-04-30,2023-05-18,1.47,1.32,0.15,11.3636,2023-05-18
3,142.88,148.34,142.15,147.33,18131279.0,2023-01-31,2023-02-21,1.71,1.51,0.2,13.245,2023-02-21
4,145.61,150.27,144.55,147.44,25516226.0,2022-10-31,2022-11-15,1.5,1.32,0.18,13.6364,2022-11-15
5,138.9,140.93,138.19,139.37,30591107.0,2022-07-31,2022-08-16,1.77,1.62,0.15,9.2593,2022-08-16
6,136.43,137.44,130.64,131.35,44313389.0,2022-04-30,2022-05-17,1.3,1.48,-0.18,-12.1622,2022-05-17
7,134.0,139.47,133.78,138.88,17943846.0,2022-01-31,2022-02-17,1.53,1.5,0.03,2,2022-02-17
8,145.1,146.68,142.3,143.17,24662231.0,2021-10-31,2021-11-16,1.45,1.4,0.05,3.5714,2021-11-16
9,150.4,152.5,149.1,150.7,16983362.0,2021-07-31,2021-08-17,1.78,1.57,0.21,13.3758,2021-08-17
10,143.51,144.58,141.21,141.91,19394559.0,2021-04-30,2021-05-18,1.69,1.21,0.48,39.6694,2021-05-18
11,139.0,140.7,137.5,137.66,32309133.0,2021-01-31,2021-02-18,1.46,1.51,-0.05,-3.3113,2021-02-18
12,150.5,153.2448,149.18,149.37,14237213.0,2020-10-31,2020-11-17,1.34,1.18,0.16,13.5593,2020-11-17
13,136.17,137.6323,133.17,134.71,26744177.0,2020-07-31,2020-08-18,1.56,1.25,0.31,24.8,2020-08-18
14,131.75,131.99,124.81,124.95,24887982.0,2020-04-30,2020-05-19,1.18,1.12,0.06,5.3571,2020-05-19
15,118.47,119.95,117.36,119.63,11513005.0,2020-01-31,2020-02-18,1.38,1.43,-0.05,-3.4965,2020-02-18
16,124.6,125.38,119.51,120.65,22504031.0,2019-10-31,2019-11-14,1.16,1.09,0.07,6.422,2019-11-14
17,112.53,113.64,110.16,112.69,19812894.0,2019-07-31,2019-08-15,1.27,1.22,0.05,4.0984,2019-08-15
18,102.83,103.96,100.84,101.31,17121981.0,2019-04-30,2019-05-16,1.13,1.02,0.11,10.7843,2019-05-16
19,102.38,104.18,102.07,102.2,20697252.0,2019-01-31,2019-02-19,1.41,1.33,0.08,6.015,2019-02-19
20,102.32,102.8,98.62,99.54,16082589.0,2018-10-31,2018-11-15,1.08,1.01,0.07,6.9307,2018-11-15
21,100.11,100.21,97.91,98.64,42631271.0,2018-07-31,2018-08-16,1.29,1.22,0.07,5.7377,2018-08-16
22,87.04,87.59,83.85,84.49,29720738.0,2018-04-30,2018-05-17,1.14,1.12,0.02,1.7857,2018-05-17
23,96.99,97.94,94.1,94.11,50927197.0,2018-01-31,2018-02-20,1.33,1.37,-0.04,-2.9197,2018-02-20
24,95.12,99.68,94.72,99.62,37814854.0,2017-10-31,2017-11-16,1,0.97,0.03,3.0928,2017-11-16
25,78.85,79.805,78.33,79.7,17088252.0,2017-07-31,2017-08-17,1.08,1.07,0.01,0.9346,2017-08-17
26,76.89,77.66,76.13,77.54,18946639.0,2017-04-30,2017-05-18,1,0.96,0.04,4.1667,2017-05-18
27,71.21,72.28,70.7,71.45,22412493.0,2017-01-31,2017-02-21,1.3,1.29,0.01,0.7752,2017-02-21
28,69.08,69.52,68.12,69.19,23436461.0,2016-10-31,2016-11-17,0.98,0.96,0.02,2.0833,2016-11-17
29,74.94,75.19,73.87,74.3,26858329.0,2016-07-31,2016-08-18,1.07,1.02,0.05,4.902,2016-08-18
30,68.1,69.33,67.5,69.2,35076690.0,2016-04-30,2016-05-19,0.98,0.88,0.1,11.3636,2016-05-19
31,63.74,64.78,62.35,64.12,27894515.0,2016-01-31,2016-02-18,1.49,1.46,0.03,2.0548,2016-02-18
32,59.34,60.9,59.2,59.92,24667384.0,2015-10-31,2015-11-17,0.99,0.98,0.01,1.0204,2015-11-17
