,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
6,2015Q3,615.0498828125,622.151534375,607.4325296874999,614.56703125,2571455.484375,0.3495,0.337,0.0125,3.7092,post-market,USD,11638000000,18675000000,7037000000,7037000000,4708000000,3700000000,3230000000,6930000000,None,-26000000,None,26000000,-100000000,49000000,None,1248000000,4891000000,912000000,26000000,3979000000,3316000000,4917000000,5956000000,3979000000,USD,144281000000,88103000000,18068000000,72767000000,2212000000,10036000000,56178000000,28338000000,10570000000,19698000000,4023000000,15675000000,58877000000,4813000000,54699000000,2688000000,None,28040000000,18457000000,1549000000,838000000,3237000000,2000000000,9583000000,None,None,None,1994000000,-6000000,12966000000,1884000000,116241000000,None,85969000000,31864000000,686902000,USD,6145000000,None,None,None,None,1248000000,2383000000,None,777000000,3979000000,-5817000000,-609000000,None,0,None,None,None,None,None,None,None,None,-18068000000,None,-385000000,-104000000,3979000000
7,2015Q4,716.83125,723.4478546875,709.999696875,717.57203125,1977482.75,0.3675,0.3605,0.007,1.9417,post-market,USD,13141000000,21329000000,8188000000,8188000000,5380000000,4251000000,3510000000,7761000000,None,-26000000,None,26000000,-161000000,35000000,None,1404000000,5200000000,277000000,26000000,4923000000,4641000000,5226000000,7093000000,4923000000,USD,147461000000,90114000000,16549000000,73066000000,491000000,13459000000,57347000000,29016000000,11130000000,19716000000,3847000000,15869000000,65462000000,9383000000,56517000000,3139000000,None,27130000000,19310000000,1931000000,939000000,3225000000,2000000000,7820000000,None,3225000000,None,1995000000,5225000000,13366000000,1822000000,120331000000,None,89223000000,32982000000,687348000,USD,6609000000,1245000000,None,1246000000,1758000000,1404000000,2100000000,1758000000,663000000,4696000000,-5487000000,-2559000000,None,1780000000,1780000000,None,None,None,None,None,None,None,-1780000000,None,-1519000000,-82000000,4923000000
8,2016Q1,717.2834426229508,724.9774327868852,708.2347295081968,716.4008196721311,2502555.0,0.4335,0.405,0.0285,7.037,post-market,USD,12609000000,20257000000,7648000000,7648000000,5342000000,3900000000,3367000000,7267000000,None,-30000000,None,30000000,-186000000,13000000,None,1371000000,5129000000,922000000,30000000,4102000000,4787000000,5159000000,6996000000,4207000000,USD,149747000000,90955000000,15111000000,75264000000,None,12622000000,58792000000,30162000000,11833000000,19523000000,3657000000,15866000000,69819000000,9977000000,60153000000,2719000000,None,26178000000,17684000000,1667000000,1064000000,3221000000,1998000000,8494000000,None,None,None,1987000000,-13000000,11863000000,1965000000,123569000000,None,91168000000,33695000000,686792000,USD,7658000000,184000000,None,-1315000000,-818000000,1371000000,2428000000,-818000000,-1010000000,4102000000,-6245000000,-2911000000,None,2098000000,2098000000,None,None,None,None,None,None,None,-2098000000,None,-1438000000,60000000,4207000000
9,2016Q2,718.52046875,723.6753515625,712.964003125,718.31328125,1820797.890625,0.375,0.398,-0.023,-5.7789,post-market,USD,13370000000,21500000000,8130000000,8130000000,5968000000,4039000000,3363000000,7402000000,None,-32000000,None,32000000,-128000000,18000000,None,1490000000,6119000000,1242000000,32000000,4834000000,5020000000,6151000000,7783000000,4877000000,USD,154292000000,94238000000,13627000000,78460000000,None,12262000000,60054000000,31413000000,12491000000,19293000000,3452000000,15841000000,75341000000,10520000000,64833000000,3016000000,None,26413000000,17341000000,1716000000,1051000000,2219000000,1999000000,9072000000,None,1984000000,None,1984000000,-16000000,12506000000,2151000000,127879000000,None,94737000000,34293000000,686778000,USD,9120000000,-136000000,None,626000000,835000000,1490000000,2123000000,835000000,652000000,4834000000,-7173000000,-3440000000,None,1595000000,1595000000,None,None,None,None,None,None,None,-1595000000,None,-1484000000,9000000,4877000000
10,2016Q3,758.2453125,762.8379296875,754.738446875,759.42484375,1310952.234375,0.421,0.4015,0.0195,4.8568,post-market,USD,13752000000,22451000000,8699000000,8699000000,5767000000,4389000000,3596000000,7985000000,None,-29000000,None,29000000,-123000000,22000000,None,1596000000,6045000000,984000000,29000000,5000000000,5180000000,6074000000,7703000000,5061000000,USD,159948000000,98546000000,9406000000,83056000000,559000000,12395000000,61402000000,32753000000,13341000000,19395000000,3367000000,16028000000,83583000000,10205000000,73650000000,2536000000,None,25845000000,14323000000,2175000000,1092000000,0,171000000,11522000000,None,3938000000,None,3938000000,-62000000,11054000000,2561000000,134103000000,None,99798000000,35337000000,689136000,USD,9845000000,18000000,None,1307000000,282000000,1596000000,2554000000,282000000,948000000,5000000000,-13045000000,-1089000000,None,0,0,None,None,None,None,None,None,None,0,None,-4221000000,68000000,5061000000
11,2016Q4,780.2350793650793,785.615946031746,773.6348984126984,779.088253968254,1726070.0317460317,0.453,0.432,0.021,4.8611,post-market,USD,15403000000,26064000000,10661000000,10661000000,6639000000,5142000000,3622000000,8764000000,None,-33000000,None,33000000,-38000000,35000000,None,1687000000,6857000000,1524000000,33000000,5542000000,3963000000,6890000000,8686000000,5333000000,USD,167497000000,105408000000,12918000000,86333000000,268000000,14232000000,62089000000,34234000000,13293000000,19775000000,3307000000,16468000000,84085000000,10578000000,73415000000,4575000000,1819000000,28461000000,16756000000,2041000000,1301000000,0,0,11705000000,None,4000000000,3935000000,3935000000,4000000000,13062000000,2665000000,139036000000,None,105131000000,36307000000,691293000,USD,9413000000,18000000,None,1230000000,2279000000,1687000000,3078000000,2279000000,1830000000,5340000000,-4702000000,-892000000,None,0,0,None,None,None,None,None,None,None,298000000,None,3512000000,-307000000,5333000000
12,2017Q1,819.7908064516129,823.7535435483871,815.3186403225807,820.3882258064516,1497785.2419354839,0.468,0.4835,-0.0155,-3.2058,post-market,USD,14955000000,24750000000,9795000000,9795000000,6568000000,4445000000,3942000000,8387000000,None,-25000000,None,25000000,-2000000,34000000,None,1503000000,6819000000,1393000000,25000000,5377000000,5659000000,6844000000,8417000000,5426000000,USD,172756000000,108794000000,18132000000,92439000000,280000000,12969000000,63962000000,35936000000,14385000000,19684000000,3137000000,16547000000,84840000000,10931000000,74307000000,3106000000,None,27807000000,15256000000,2306000000,1471000000,None,803000000,12551000000,None,3937000000,None,3937000000,-63000000,10999000000,2763000000,144949000000,None,109420000000,37698000000,692108000,USD,9548000000,None,None,-1654000000,-1267000000,1503000000,2508000000,-1267000000,-2070000000,5377000000,-2851000000,-1674000000,None,1127000000,1127000000,None,None,None,None,None,None,None,-1127000000,None,5214000000,191000000,5426000000
13,2017Q2,915.2363492063492,920.9607396825396,908.8710365079365,915.6244444444445,1575883.9682539683,0.3865,0.3695,0.017,4.6008,post-market,USD,15637000000,26010000000,10373000000,10373000000,4132000000,4597000000,4172000000,8769000000,None,-21000000,None,21000000,-46000000,34000000,None,1625000000,4377000000,853000000,21000000,3511000000,3965000000,4398000000,8821000000,3524000000,USD,178621000000,112386000000,15711000000,94713000000,398000000,14877000000,66235000000,37676000000,15665000000,19537000000,2933000000,16604000000,90410000000,11942000000,79002000000,2398000000,None,30335000000,18685000000,2488000000,1571000000,None,12216000000,11281000000,None,3939000000,3955000000,3939000000,-61000000,2755000000,2853000000,148286000000,None,111505000000,38509000000,692876000,USD,7403000000,None,None,3655000000,836000000,1625000000,2831000000,836000000,3309000000,3511000000,-7172000000,-2740000000,None,1618000000,1618000000,None,None,None,None,None,None,None,-1618000000,None,-2421000000,88000000,3524000000
14,2017Q3,930.9474603174604,936.8983396825397,924.8222142857143,931.5844444444444,1427299.0,0.2505,0.2235,0.027,12.0805,post-market,USD,16624000000,27772000000,11148000000,11148000000,7782000000,4637000000,4205000000,8842000000,None,-27000000,None,27000000,-53000000,47000000,None,1761000000,7979000000,1247000000,27000000,6701000000,7714000000,8006000000,9896000000,6732000000,USD,189536000000,119345000000,10581000000,100143000000,765000000,15577000000,70191000000,40120000000,16238000000,19614000000,2883000000,16731000000,101706000000,12569000000,89562000000,2860000000,2683000000,32436000000,20693000000,2674000000,1615000000,None,13906000000,11592000000,None,3941000000,3964000000,3941000000,-59000000,2844000000,2924000000,157100000000,None,118237000000,39609000000,694790000,USD,9872000000,None,None,1406000000,3236000000,1761000000,3538000000,1150000000,-22000000,6701000000,-14404000000,-706000000,None,0,0,None,None,None,None,None,None,None,0,None,-5130000000,108000000,6732000000
15,2017Q4,1016.8961904761904,1024.3488333333332,1010.7236650793651,1017.9190476190477,1300790.7936507936,0.4785,0.4165,0.062,14.886,post-market,USD,18056000000,32323000000,14267000000,14267000000,7696000000,6086000000,4306000000,10392000000,None,-36000000,None,36000000,-20000000,43000000,None,2026000000,8018000000,11038000000,36000000,-3083000000,-3266000000,8054000000,10134000000,-3020000000,USD,197295000000,124308000000,10715000000,101871000000,749000000,18705000000,72987000000,42383000000,17264000000,19439000000,2692000000,16747000000,104357000000,13713000000,91156000000,2983000000,2672000000,44793000000,24183000000,3137000000,1772000000,0,0,20180000000,None,4026000000,3969000000,3943000000,4026000000,2874000000,3059000000,152502000000,None,113247000000,40247000000,694783000,USD,10268000000,None,None,2605000000,3127000000,2026000000,4307000000,3049000000,2465000000,-3083000000,-6974000000,-3178000000,None,2101000000,2101000000,None,800000000,800000000,None,None,None,None,-2101000000,None,134000000,18000000,-3020000000
