,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
12,2011Q1,57.828709677419354,58.616867741935486,57.1474064516129,58.11693548387097,142368.4516129032,0.1744,None,None,None,USD,14432000,53101000,38669000,38669000,5990000,5232000,0,8442000,None,None,None,534000,None,None,None,3232000,-117543000,2457000,None,0,None,8502000,11734000,-114515000,USD,3026547000,789236000,280481000,280481000,None,None,2237311000,2080142000,None,20986000,20986000,None,None,None,None,133206000,None,961925000,69640000,None,None,None,None,892285000,None,314924000,None,None,314924000,69640000,None,2063832000,None,-643020000,379000,37905000,USD,4670000,None,None,None,None,3232000,9140000,None,None,None,None,200000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-114487000
13,2011Q2,67.35603174603175,68.22679206349207,66.22979523809524,67.23460317460317,241590.47619047618,-0.12,-0.1,-0.02,-20,USD,17537000,50823000,33286000,33286000,5689000,8359000,0,11848000,None,None,None,0,None,2244000,None,3197000,64843000,958000,None,63885000,None,7933000,11130000,65973000,USD,3025431000,794892000,275956000,275956000,0,None,2230539000,2230539000,None,20855000,20855000,0,None,None,0,147048000,None,894512000,65839000,None,None,None,None,828673000,None,306668000,None,None,306668000,298483000,144255000,2130110000,0,-577047000,379000,40870000,USD,12323000,None,None,None,None,3197000,9425000,None,0,None,0,-7312000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,65993000
14,2011Q3,54.0534375,55.098334375,52.82359375,53.73078125,163425.0,1.74,0.08,1.66,2075,USD,19691000,86890000,67199000,67199000,2218000,9990000,0,17473000,None,None,None,0,None,-8964000,None,5958000,157264000,-7760000,None,165024000,None,5809000,11767000,164295000,USD,3476976000,925693000,293363000,293363000,0,None,2551283000,2551283000,None,28574000,28574000,0,None,None,0,137912000,None,1178161000,122079000,None,None,None,None,1056082000,None,708172000,None,None,708172000,85799000,146985000,2293762000,0,-412754000,379000,38755000,USD,4959000,None,None,None,None,5958000,6450000,None,0,None,0,6673000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,165022000
15,2011Q4,45.10142857142857,45.9294126984127,44.24666825396826,45.077619047619045,137471.42857142858,4.33,0.09,4.24,4711.1111,USD,27770000,84878000,57108000,57108000,13569000,11601000,0,14201000,None,None,None,0,None,None,None,4692000,17961000,-13981000,None,0,None,16348000,21040000,31429000,USD,3395149000,834428000,227566000,227566000,0,None,2560721000,2560721000,None,36633000,36633000,0,None,None,0,137494000,None,1065550000,125404000,None,None,None,None,940146000,None,606477000,None,None,606477000,74587000,129939000,2324585000,0,-381325000,379000,37903000,USD,64556000,None,None,None,None,4692000,19365000,None,0,None,0,-103505000,None,None,None,None,0,0,None,None,None,None,0,None,None,None,31942000
16,2012Q1,54.55967903225807,55.28725806451613,54.071514516129035,54.80532258064516,136190.32258064515,0.7852,None,None,None,USD,23984000,79765000,55781000,55781000,9104000,9822000,0,14880000,None,None,None,1000,None,5009000,None,5014000,-107738000,3784000,None,-111522000,None,11480000,16494000,-112258000,USD,3390288000,824061000,209974000,209974000,0,None,2566227000,2566227000,None,36120000,36120000,0,None,None,0,142228000,None,1171648000,113944000,None,None,None,None,1057704000,None,598287000,None,None,598287000,20445000,381549000,2212890000,0,-493583000,379000,37903000,USD,-878000,None,None,None,None,5014000,7605000,3770000,0,None,-8951000,-7763000,None,None,None,None,0,0,None,None,None,None,0,None,-17592000,None,-111522000
17,2012Q2,62.18714285714286,63.03036666666667,61.37852380952381,62.20603174603175,131928.57142857142,-2.96,0.1,-3.06,-3060,USD,33274000,93939000,60665000,60665000,19057000,8160000,0,14217000,None,None,None,200000,None,2342000,None,5848000,36293000,1301000,None,34310000,None,21444000,27292000,34310000,USD,3467703000,854003000,254288000,254288000,0,None,2613700000,2613700000,None,36597000,36597000,0,None,None,0,132536000,None,1215297000,119435000,None,None,None,None,1095862000,None,659397000,None,None,659397000,77656000,359589000,2245974000,0,-459275000,379000,40251000,USD,30429000,None,None,None,None,5848000,12431000,5912000,0,None,7902000,5983000,None,None,None,None,0,0,None,None,None,None,0,None,44314000,None,34990000
18,2012Q3,65.51079365079366,66.19785714285715,64.8283619047619,65.5684126984127,97395.23809523809,1.07,0.1,0.97,970,USD,33705000,94815000,61110000,61110000,17362000,9339000,0,16343000,None,None,None,445000,None,2375000,None,6590000,-47574000,2618000,None,-49411000,None,19911000,26501000,-49411000,USD,3524070000,884085000,272854000,272854000,0,None,2639985000,2639985000,None,38895000,38895000,0,None,None,0,137492000,None,1322058000,136760000,None,None,None,None,1185298000,None,683804000,None,None,683804000,89650000,425956000,2196361000,0,-508686000,379000,37916000,USD,29709000,None,None,None,None,6590000,16779000,3602000,0,None,-19277000,8134000,None,None,None,None,0,0,None,None,None,None,0,None,18566000,None,-50192000
19,2012Q4,71.85064516129032,72.56233387096775,71.15871129032259,71.91435483870967,119353.2258064516,-1.3032,None,None,None,USD,43121000,108369000,65248000,65248000,26941000,8527000,0,16180000,None,None,None,318000,None,-289000,None,7073000,-1635000,-816000,None,-920000,None,12753000,19826000,-927000,USD,3503042000,765007000,229197000,229197000,15845000,None,2738035000,2666284000,None,37467000,37467000,0,None,None,0,21393000,None,1192045000,134685000,None,None,None,59572000,1057360000,None,688312000,None,None,688312000,79188000,256065000,2305238000,0,-509613000,395000,39441000,USD,93804000,None,None,None,None,7073000,37552000,30176000,0,None,-61023000,-76438000,None,None,None,None,0,0,None,None,None,None,-80548000,None,-43657000,None,-819000
20,2013Q1,76.36116666666666,77.07284,75.802405,76.49516666666666,185325.0,-0.0239,None,None,None,USD,27338000,90091000,62753000,62753000,9294000,11171000,0,18044000,None,None,None,143000,None,2356000,None,6704000,-20691000,2479000,None,-23170000,None,12479000,19183000,-23124000,USD,3546412000,761508000,200536000,200536000,28529000,None,2784904000,2717213000,None,36287000,36287000,0,None,None,0,21673000,None,1253696000,142926000,None,None,None,39722000,1110770000,None,696761000,None,None,696761000,73071000,291168000,2283265000,0,-532737000,395000,39441000,USD,16639000,None,None,None,None,6704000,43940000,-3472000,463000,None,-56598000,11298000,None,None,None,None,12000,12000,None,None,None,None,0,None,-28661000,None,-23170000
21,2013Q2,98.29734375,99.7824359375,97.1631734375,98.66203125,189885.9375,0.3,0.33,-0.03,-9.0909,USD,61616000,147052000,85436000,85436000,47790000,6769000,0,13826000,None,None,None,8333000,None,2067000,None,6780000,-63135000,13361000,None,-76496000,None,48065000,54845000,-76554000,USD,3604596000,811549000,213196000,213196000,0,None,2793047000,2718837000,None,35602000,35602000,0,None,None,0,125803000,None,1387280000,178232000,None,None,None,-29883000,1209048000,None,715530000,None,None,715530000,-25602000,404187000,2209941000,0,-609291000,396000,39460825,USD,72776000,None,None,None,None,6712000,52235000,-1479000,11313000,None,-79958000,19842000,None,None,None,None,2134000,2134000,None,None,None,None,0,None,12660000,None,-76496000
22,2013Q3,109.83515625,110.94648125,108.2247203125,109.5946875,129789.0625,1.07,0.39,0.68,174.359,USD,29142000,103514000,74372000,74372000,10700000,11914000,0,18442000,None,None,None,1000,None,2061000,None,10065000,12605000,5172000,None,7433000,None,17085000,27150000,7335000,USD,3719230000,764224000,210760000,210760000,846000,None,2955006000,2818778000,None,34894000,34894000,0,None,None,0,21427000,None,1493654000,217197000,None,None,None,126252000,1276457000,None,765980000,None,None,765980000,130948000,409522000,2218103000,0,-601956000,396000,42439000,USD,19351000,None,None,None,None,10065000,79794000,1246000,367000,None,-74981000,53194000,None,None,None,None,0,0,None,None,None,None,0,None,-2436000,None,7433000
