,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
50,2009Q3,43.82640625,44.32109375,43.28296875,43.85828125,8417548.4375,0.79,0.66,0.13,19.697,USD,1714000000,15067000000,13353000000,9914000000,-1422000000,3136000000,None,3324000000,1000000,306000000,500000000,194000000,None,None,None,478000000,957000000,363000000,194000000,594000000,594000000,1151000000,1630000000,594000000,USD,44233000000,17683000000,957000000,957000000,7528000000,None,26550000000,25712000000,9543000000,None,None,None,5530000000,None,385000000,1910000000,838000000,29631000000,9810000000,6233000000,None,517000000,517000000,19821000000,None,None,None,11983000000,18014000000,2510000000,1886000000,14602000000,None,12266000000,63000000,751900000,USD,1052000000,None,None,None,None,478000000,502000000,None,535000000,594000000,-600000000,-866000000,None,None,None,None,120000000,120000000,None,None,None,None,7000000,None,-414000000,None,594000000
51,2009Q4,48.43703125,48.94953125,47.87953125,48.4203125,7737267.1875,0.58,0.5,0.08,16,USD,1792000000,15276000000,13484000000,10229000000,-1463000000,3255000000,None,3446000000,1000000,296000000,487000000,191000000,6000000,None,None,537000000,683000000,247000000,191000000,436000000,468000000,874000000,1411000000,436000000,USD,45979000000,19583000000,864000000,864000000,9382000000,None,26396000000,25591000000,10035000000,None,None,None,5754000000,None,273000000,2314000000,805000000,31008000000,12398000000,7641000000,None,577000000,577000000,18610000000,None,None,None,11432000000,17535000000,3117000000,1911000000,14971000000,None,12559000000,63000000,752200000,USD,976000000,None,None,1228000000,2010000000,537000000,398000000,-36000000,1854000000,436000000,-462000000,-607000000,None,None,None,None,128000000,128000000,None,None,None,None,22000000,None,973000000,None,436000000
52,2010Q1,51.25065573770492,51.703770491803276,50.85918032786885,51.33295081967213,6465354.098360656,1.24,1.16,0.08,6.8966,USD,20181000000,20181000000,17940000000,13982000000,9190000000,3673000000,None,3886000000,0,250000000,463000000,213000000,None,None,None,536000000,1409000000,473000000,213000000,1409000000,872000000,1622000000,2158000000,936000000,USD,44533000000,18424000000,583000000,2200000000,7179000000,None,26109000000,25280000000,10485000000,239000000,180000000,59000000,5793000000,None,1617000000,2079000000,829000000,29186000000,11327000000,6511000000,None,796000000,796000000,17859000000,None,None,None,10643000000,16814000000,2285000000,1906000000,15347000000,None,12947000000,62000000,744644454,USD,2854000000,None,None,-724000000,-1927000000,536000000,289000000,247000000,-2203000000,936000000,-269000000,-1249000000,None,None,None,None,127000000,127000000,None,None,None,None,-407000000,None,1336000000,None,936000000
53,2010Q2,54.61619047619048,55.241904761904756,53.91269841269841,54.567460317460316,6769242.857142857,0.9,0.86,0.04,4.6512,USD,15593000000,15593000000,13752000000,10412000000,1220000000,3143000000,None,3323000000,1000000,248000000,435000000,187000000,None,None,None,516000000,1055000000,384000000,187000000,1055000000,671000000,1220000000,1759000000,671000000,USD,43323000000,17222000000,563000000,1578000000,7249000000,None,26101000000,25212000000,10445000000,None,None,None,5188000000,None,1015000000,2065000000,889000000,27726000000,10197000000,6150000000,None,797000000,797000000,17529000000,None,None,None,10642000000,15658000000,2267000000,1819000000,15597000000,None,13098000000,62000000,738900000,USD,1158000000,None,None,-298000000,-75000000,516000000,407000000,-201000000,70000000,671000000,-175000000,-1605000000,None,378000000,378000000,None,126000000,126000000,None,None,None,None,-309000000,None,-622000000,None,671000000
54,2010Q3,51.89265625,52.42078125,51.43140625,51.969375,5648287.5,0.92,0.92,0,0,USD,1838000000,15532000000,13694000000,10293000000,1245000000,3263000000,None,3455000000,1000000,221000000,406000000,185000000,-7000000,None,None,496000000,1081000000,402000000,185000000,679000000,679000000,1245000000,1763000000,679000000,USD,43655000000,17245000000,1540000000,1540000000,7728000000,None,26410000000,25401000000,10818000000,None,None,None,5606000000,None,972000000,1840000000,1009000000,28387000000,10100000000,6228000000,None,782000000,782000000,18287000000,None,15770000000,33000000,1000000000,16552000000,3057000000,1810000000,15268000000,None,12690000000,60000000,722600000,USD,670000000,None,None,-232000000,459000000,496000000,584000000,-40000000,479000000,679000000,-550000000,-158000000,None,907000000,907000000,None,126000000,126000000,None,None,None,None,-860000000,None,-38000000,None,679000000
55,2010Q4,56.075,56.54875,55.668125,56.13328125,5174350.0,0.68,0.68,0,0,USD,1588000000,15605000000,14017000000,10562000000,947000000,3345000000,None,3538000000,1000000,185000000,379000000,194000000,None,None,None,533000000,773000000,238000000,194000000,535000000,535000000,947000000,1501000000,535000000,USD,44949000000,18346000000,936000000,936000000,9550000000,None,26603000000,25590000000,11219000000,None,None,None,5649000000,None,349000000,1905000000,1013000000,30070000000,11790000000,7761000000,None,814000000,814000000,18280000000,None,15716000000,36000000,11737000000,16530000000,2365000000,1786000000,14879000000,None,12254000000,59000000,707900000,USD,1024000000,None,None,1639000000,1933000000,533000000,616000000,0,1822000000,535000000,-591000000,-1037000000,None,770000000,770000000,None,180000000,180000000,None,None,None,None,-753000000,None,-604000000,None,535000000
56,2011Q1,53.40516129032258,53.73548387096774,52.90483870967742,53.266129032258064,8317691.935483871,1.38,1.4,-0.02,-1.4286,USD,20661000000,20661000000,18178000000,14458000000,1758000000,3720000000,None,3910000000,1000000,194000000,384000000,190000000,None,None,None,539000000,1588000000,553000000,190000000,1588000000,-869000000,1758000000,2319000000,1035000000,USD,43705000000,17213000000,583000000,1712000000,7596000000,None,26715000000,25493000000,11555000000,223000000,164000000,59000000,5283000000,None,1129000000,1752000000,999000000,28218000000,10070000000,6625000000,None,238000000,119000000,18148000000,None,15241000000,119000000,15607000000,15726000000,2392000000,1607000000,15487000000,None,12698000000,59000000,704038218,USD,2419000000,None,None,-845000000,-1698000000,538000000,522000000,319000000,-1954000000,1035000000,-428000000,-1215000000,None,397000000,397000000,None,177000000,177000000,None,None,None,None,-236000000,None,776000000,None,1035000000
57,2011Q2,49.030793650793655,49.40777777777778,48.59984126984127,48.974444444444444,6979695.238095238,0.99,0.94,0.05,5.3191,USD,1852000000,15935000000,14083000000,10838000000,1245000000,3233000000,None,3423000000,0,172000000,355000000,183000000,-7000000,None,None,512000000,1081000000,392000000,183000000,689000000,700000000,1245000000,1776000000,689000000,USD,42996000000,16368000000,552000000,1424000000,7696000000,None,26628000000,25648000000,11336000000,None,None,None,5341000000,None,872000000,1527000000,980000000,27766000000,10838000000,6296000000,None,1124000000,1124000000,16928000000,None,14605000000,189000000,10640000000,15729000000,189000000,1596000000,15230000000,None,12398000000,57000000,689000000,USD,1052000000,None,None,-433000000,-134000000,512000000,632000000,-149000000,99000000,689000000,-370000000,-970000000,None,812000000,812000000,None,174000000,174000000,None,None,0,None,-796000000,None,-288000000,None,689000000
58,2011Q3,50.256875,50.82125,49.64375,50.22359375,7873779.6875,1.03,0.97,0.06,6.1856,USD,1880000000,16240000000,14360000000,10872000000,1282000000,3473000000,None,3664000000,1000000,154000000,345000000,191000000,None,None,None,510000000,1109000000,405000000,191000000,704000000,726000000,1282000000,1811000000,704000000,USD,45499000000,16059000000,774000000,890000000,7926000000,None,29440000000,28373000000,11587000000,None,None,None,6115000000,None,116000000,1521000000,1067000000,30393000000,11620000000,6519000000,None,1100000000,850000000,18773000000,None,16410000000,250000000,12661000000,17260000000,2752000000,1644000000,15106000000,None,12213000000,56000000,675200000,USD,1284000000,None,None,190000000,225000000,509000000,1747000000,6000000,231000000,704000000,-1765000000,-53000000,None,681000000,681000000,None,172000000,172000000,None,None,None,None,-663000000,None,-534000000,None,704000000
59,2011Q4,52.63984126984127,53.09888888888889,52.123650793650796,52.61492063492063,5887196.825396826,0.82,0.74,0.08,10.8108,USD,1672000000,16402000000,14730000000,11165000000,1039000000,3525000000,None,3725000000,2000000,148000000,348000000,200000000,None,None,None,546000000,857000000,302000000,200000000,555000000,540000000,1039000000,1605000000,555000000,USD,48447000000,18372000000,755000000,821000000,9890000000,None,30075000000,29040000000,12035000000,None,None,None,6135000000,None,66000000,1948000000,1035000000,33183000000,14139000000,8053000000,None,1711000000,1211000000,19044000000,None,16656000000,500000000,12897000000,17867000000,2074000000,1689000000,15264000000,None,12340000000,56000000,671400000,USD,1101000000,None,None,1357000000,2165000000,546000000,1371000000,23000000,1964000000,555000000,-1469000000,787000000,None,200000000,200000000,None,203000000,203000000,None,None,None,None,-168000000,None,1101000000,-26000000,555000000
