,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
20,2004Q4,76.845625,77.2990625,76.5421875,76.97828125,234034.375,1.63,1.54,0.09,5.8442,pre-market,JPY,867638027200,4635953328400,3768315301200,3768315301200,422121906800,445413514200,0,445516120400,None,None,None,49495000,None,None,None,-10465832400,446439576200,172686234600,None,0,None,422121906800,411656074400,296018887000,JPY,23078802141200,8780935989800,1382515938800,1382515938800,1179150450400,None,14297866151400,53565008000,None,None,None,None,None,None,591524743000,995895777200,None,13884978802600,7618612956200,None,None,None,3550277126200,6266365846400,None,46041585000,None,None,8269546689000,1414631679400,None,8703468308800,-10145773000,9025754383000,396367750600,1641023797,JPY,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3276076000
21,2005Q1,78.31786885245903,78.6660655737705,77.90885245901639,78.25016393442624,243209.83606557376,1.73,1.73,0,0,pre-market,JPY,1065230288000,5548994492540,4483764204540,4483764204540,447169990060,618162904140,7032000000,618060297940,None,None,None,55418000,None,None,None,-3308936160,461804734540,150341690960,None,0,None,447169990060,443861053900,333963911220,JPY,24299395007440,9426304558300,1481529193760,1481529193760,1304809440480,None,14873090449140,53968000000,None,None,None,None,None,None,605865659000,976355190300,None,14763498466220,8215216637460,None,None,None,3527532162560,6548281828760,None,46698000000,None,None,8535092258840,2021958325500,None,9031687633500,-10237000000,9318535534000,396439883420,1670428609,JPY,22078000000,None,None,None,None,None,17909000000,None,None,None,None,3905000000,None,None,None,None,1539000000,1539000000,None,None,None,None,None,None,None,None,2331124000
22,2005Q2,72.9040625,73.1940625,72.4834375,72.829375,283007.8125,1.73,1.64,0.09,5.4878,pre-market,JPY,975431183520,4980422512080,4004991328560,4004991328560,404969212080,570461971440,0,570461971440,None,None,None,37228000,None,None,None,3438522480,421718144160,174920966160,None,0,None,404969212080,408407734560,266873712480,JPY,25096666380720,9608895610320,1672009285920,1672009285920,1386279159840,None,15487770770400,54320151000,None,None,None,None,None,None,498696679680,1018357254480,None,15418334800320,8692695749520,None,None,None,3981587191680,6725639050800,None,46840132000,None,None,9175198097520,1529366063040,None,9165104370240,-10467974000,9465697787040,396982966320,1804999000,JPY,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2406447000
23,2005Q3,79.98546875,80.37515625,79.62890625,80.0721875,320815.625,1.48,1.66,-0.18,-10.8434,pre-market,JPY,971859758100,4847044166580,3875184408480,3875184408480,394303871500,577555886600,3293918000,577555886600,None,None,None,60292000,None,None,None,-14070123760,423578806420,145807330900,None,0,None,394303871500,380233747740,296834223840,JPY,26227845376040,9775105013520,1693974819460,1693974819460,1441733810440,None,16452740362520,56822650000,None,None,None,None,None,None,577102011640,1036536939900,None,16019970588160,9064336826160,None,None,None,4248383094340,6955633762000,None,46850507000,None,None,9550096502100,1586519922680,None,9681720240500,-10231415000,9760921421020,396573246300,1804998746,JPY,11823268000,None,None,None,None,None,11839191000,None,None,None,None,4324866000,None,None,None,None,1153888000,1153888000,None,None,None,None,None,None,None,None,2629478000
24,2005Q4,94.84269841269841,95.39158730158731,94.37285714285714,94.9684126984127,402150.79365079367,1.62,1.71,-0.09,-5.2632,pre-market,JPY,1042791159330,5341750567790,4298959408460,4298959408460,482950849530,559840309800,3293918000,559840309800,None,None,None,43264000,None,None,None,-140432516530,640981721790,259723384230,None,0,None,482950849530,342518333000,398148034670,JPY,27588434405910,10137833998180,1464443038230,1464443038230,1552080487570,None,17450600407730,57169333000,None,None,None,None,None,None,682438251060,118109770,None,16820721004320,9473112212620,None,None,None,4722382933910,7347608791700,None,47118875000,None,None,10285471210680,1603103908210,None,10210471506730,-9822141000,10071456307440,397675595590,1629113000,JPY,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3372701000
25,2006Q1,105.76209677419355,106.38806451612903,105.27129032258064,105.93532258064516,384953.22580645164,2.08,1.75,0.33,18.8571,pre-market,JPY,1006988486540,5388215457700,4381226971160,4381226971160,557461104950,449527381590,6918000000,449527381590,None,None,None,43216000,None,None,None,14528775790,560515995310,198974338080,None,0,None,557461104950,571989880740,383587018840,JPY,28788489138150,10756473798150,1572504732000,1572504732000,1624176107550,None,18032015340000,60157000000,None,None,None,None,None,None,636181742250,50376648600,None,17616407989050,10048611263850,None,None,None,4766360712750,7567796725200,None,48016000000,None,None,10417961551950,2098506931750,None,10581332552550,-10462000000,10480461552900,397834281000,1621661000,JPY,21414000000,None,None,None,None,None,23591000000,None,None,None,None,7465000000,None,None,None,None,2082000000,2082000000,None,None,None,None,None,None,None,None,3272374000
26,2006Q2,110.1931746031746,110.79190476190476,109.18412698412699,109.91873015873016,379182.5396825397,1.97,1.81,0.16,8.8398,pre-market,JPY,1101694906000,5645212962200,4543518056200,4543518056200,513055424000,588639482000,0,588639482000,None,None,None,82395000,None,None,None,-19926706200,555313783700,230645898200,None,0,None,513055424000,493128717800,371965182400,JPY,28779546253900,10552336145900,1401855233300,1401855233300,1644754910600,None,18227210108000,63453140000,None,None,None,None,None,None,662505720500,-114521300,None,17731103836400,9971827676200,None,None,None,4872423229800,7759276160200,None,51169698000,None,None,10739234907500,1645556559700,None,10466101607000,-12150284000,10666399360700,397503432300,1612290600,JPY,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3244293000
27,2006Q3,106.03682539682539,106.60031746031746,105.2004761904762,105.90015873015874,299355.55555555556,2,1.85,0.15,8.1081,pre-market,JPY,1150559461880,5830107162450,4679547700570,4679547700570,580591094890,569850336680,3332672000,569968366990,None,None,None,95273000,None,None,None,-14045606890,611042914870,225910013340,None,0,None,580591094890,566545488000,405434114850,JPY,30028681318650,10895613976720,1905127233710,1905127233710,1701879039890,None,19133067341930,64647758000,None,None,None,None,None,None,484514422550,19829092080,None,18444124422460,10418063342460,None,None,None,5202185913250,8026061080000,None,51763310000,None,None,11305887334280,1708842828180,None,10987559588210,-11780693000,11051650046540,396817902220,1620878500,JPY,13314628000,None,None,None,None,None,12486236000,None,None,None,None,3990762000,None,None,None,None,1511111000,1511111000,None,None,None,None,None,None,None,None,3342841000
28,2006Q4,120.56634920634922,121.17682539682541,119.95095238095237,120.6352380952381,450157.14285714284,2.09,1.9,0.19,10,pre-market,JPY,1203856879890,6146181604430,4942324724540,4942324724540,574727678840,629248241580,3332672000,629129201050,None,None,None,99311000,None,None,None,-14284863600,615915702220,240223789540,None,0,None,574727678840,560442815240,426760300050,JPY,31015057767260,10915421398350,1435985913390,1435985913390,1820486825290,None,20099636368910,66348639000,None,None,None,None,None,None,503779522960,1066126986680,None,19126003874040,10817570082690,None,None,None,5556811940400,8308433791350,None,53096774000,None,None,11875959434920,1867150713050,None,11270043137220,-12818333000,11323968497310,397000167550,1610794000,JPY,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3585708000
29,2007Q1,132.70852459016393,133.34639344262294,131.70131147540982,132.57737704918034,592531.1475409836,2.26,1.95,0.31,15.8974,pre-market,JPY,1255184749610,6284098159130,5028913409520,5028913409520,566229601590,688955148020,7546000000,688955148020,None,None,None,141021000,None,None,None,-12700470580,595932004670,199869633320,None,0,None,566229601590,553529131010,437026716750,JPY,32511456921120,11761177803360,1896671511360,1896671511360,1800412309920,None,20750279117760,68281000000,None,None,None,None,None,None,461266552800,1069219404000,None,20071398433920,11744329497600,None,None,None,5854020419520,8327068936320,None,53059000000,None,None,12105448778400,2370545382880,None,11813018744160,-12915000000,11741855270880,396229736160,1592098000,JPY,27431000000,None,None,None,None,None,24022000000,None,None,None,None,7469000000,None,None,None,None,2873000000,2873000000,None,None,None,None,None,None,None,None,3754158000
