,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Quarter
0,USD,1410248000,1115894000,207101000,228945000,507431000,248477000,286055000,190882000,15123000,2163000,2163000,None,114761000,22306000,21844000,94915000,3851000,532118000,481951000,None,196140000,40628000,33911000,50167000,7184000,46470000,6717000,39753000,80381000,105632000,6106000,729050000,None,152306000,7000,60219218,2023Q3
1,USD,1316914000,996832000,257420000,263795000,471094000,200745000,311792000,159013000,13100000,2107000,2107000,None,73711000,16122000,6375000,33082000,3388000,483531000,456299000,None,200535000,57215000,53976000,27232000,7809000,19138000,3239000,15899000,73114000,88646000,6566000,691954000,None,124284000,6000,59898149,2023Q2
2,USD,1312751000,993811000,260387000,273120000,473299000,222308000,310179000,149904000,11697000,1233000,1233000,None,72117000,17265000,12733000,73995000,3479000,480046000,450211000,116558000,184853000,59114000,56745000,29835000,7408000,20614000,2369000,18245000,77359000,86673000,7195000,691927000,None,101410000,6000,59736764,2023Q1
3,USD,1235500000,963806000,247951000,268160000,393172000,212553000,263002000,82875000,10047000,1255000,1255000,None,55585000,17459000,20209000,19429000,50265000,423329000,396214000,101735000,157947000,58326000,56004000,27115000,2489000,21009000,2322000,18687000,77013000,76824000,7321000,674856000,None,94426000,6000,59572215,2022Q4
4,USD,1147666000,971242000,336275000,350439000,327792000,203539000,167877000,66470000,8511000,873000,873000,None,37246000,18538000,14164000,23296000,2373000,373568000,345602000,92325000,141521000,52948000,50688000,27966000,2647000,21070000,2260000,18810000,71758000,57488000,6660000,643015000,None,91186000,6000,59360790,2022Q3
5,USD,1071524000,900628000,324344000,347610000,288080000,172356000,149192000,57266000,7614000,661000,661000,None,12612000,12612000,23894000,22552000,2520000,284379000,252733000,93902000,97371000,7226000,4898000,31646000,3478000,22970000,2328000,20642000,27868000,52460000,8063000,655005000,None,70182000,6000,59177643,2022Q2
6,USD,1087372000,904977000,379792000,406083000,271538000,131560000,160068000,57680000,6837000,748000,748000,None,12666000,91416000,25772000,21771000,3559000,278598000,244449000,108494000,84735000,12041000,9600000,34149000,4028000,24785000,2441000,22344000,34385000,37103000,8545000,674386000,None,66258000,6000,58827390,2022Q1
7,USD,1052179000,952934000,562548000,592565000,218116000,125614000,76884000,14042000,5900000,477000,477000,None,12694000,12694000,29498000,16639000,45017000,240514000,205939000,93451000,56004000,12001000,9591000,34575000,4182000,25367000,2410000,22957000,34958000,34271000,8447000,676204000,None,63732000,6000,19532885,2021Q4
8,USD,469509000,377347000,64517000,95255000,176609000,97952000,75198000,10005000,5120000,556000,556000,None,7408000,7408000,30219000,7531000,44243000,227002000,195207000,92825000,55084000,17552000,15201000,31795000,4599000,25431000,2351000,23080000,40632000,27266000,5303000,173016000,None,56479000,2000,19422546,2021Q3
9,USD,418958000,329361000,70209000,101466000,136852000,82090000,72949000,8985000,4681000,630000,630000,None,7006000,7006000,31257000,8953000,43434000,189402000,162058000,67031000,46193000,23961000,22162000,27344000,5209000,20516000,1799000,18717000,42678000,22436000,4557000,160823000,None,46324000,2000,19123659,2021Q2
