,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
0,USD,381000000,None,None,-181000000,319000000,1240000000,139000000,320000000,-94000000,667000000,150000000,-159000000,0,233000000,233000000,None,None,None,None,None,None,None,-113000000,None,None,None,667000000,2023Q4
1,USD,421000000,None,None,-547000000,765000000,-677000000,124000000,744000000,-122000000,299000000,102000000,-803000000,0,511000000,511000000,None,None,None,None,0,0,None,-507000000,None,None,None,299000000,2023Q3
2,USD,379000000,None,None,None,None,693000000,125000000,-272000000,332000000,27000000,-438000000,75000000,0,0,0,None,None,None,None,0,0,None,0,None,16000000,None,27000000,2023Q2
3,USD,486000000,None,None,None,None,2638000000,158000000,86000000,-464000000,-139000000,-1237000000,-259000000,0,None,0,None,None,None,None,0,0,None,0,None,-1010000000,None,-139000000,2023Q1
4,USD,567000000,None,None,120000000,503000000,1747000000,124000000,-211000000,404000000,21000000,1067000000,-197000000,312000000,250000000,250000000,None,None,None,None,0,0,None,-162000000,None,None,None,21000000,2022Q4
5,USD,965000000,None,None,783000000,1596000000,1125000000,123000000,285000000,723000000,66000000,-1298000000,-1233000000,-312000000,617000000,617000000,None,None,None,None,None,0,None,-616000000,None,66000000,None,66000000,2022Q3
6,USD,1038000000,None,None,24000000,569000000,1000000000,132000000,344000000,248000000,447000000,-928000000,114000000,0,921000000,921000000,None,None,None,None,None,0,None,-845000000,None,447000000,None,447000000,2022Q2
7,USD,995000000,None,None,4000000,959000000,628000000,71000000,673000000,26000000,786000000,3158000000,-1948000000,None,1914000000,1914000000,None,None,None,None,None,None,None,-1912000000,None,2205000000,None,786000000,2022Q1
8,USD,822000000,None,None,275000000,1231000000,431000000,86000000,487000000,52000000,974000000,0,-727000000,0,758000000,758000000,None,None,None,None,None,None,None,-709000000,None,95000000,None,974000000,2021Q4
9,USD,849000000,None,None,180000000,570000000,113000000,85000000,203000000,138000000,923000000,-83000000,-949000000,0,748000000,748000000,None,None,None,None,None,None,None,-744000000,None,923000000,None,923000000,2021Q3
10,USD,952000000,None,None,-120000000,41000000,111000000,64000000,-159000000,112000000,710000000,119000000,-211000000,None,256000000,256000000,None,None,None,None,None,None,None,-207000000,None,710000000,None,710000000,2021Q2
11,USD,898000000,None,None,466000000,330000000,109000000,66000000,109000000,254000000,555000000,-722000000,-8000000,None,0,0,None,None,None,None,None,None,None,2000000,None,168000000,None,555000000,2021Q1
12,USD,554000000,None,None,-634000000,98000000,320000000,74000000,-68000000,107000000,1778000000,-294000000,35000000,0,None,None,None,115000000,115000000,None,None,None,None,40000000,None,1778000000,None,1781000000,2020Q4
13,USD,339000000,None,None,282000000,479000000,125000000,74000000,351000000,-32000000,390000000,-549000000,-269000000,0,None,None,None,78000000,78000000,None,None,None,None,3000000,None,390000000,None,390000000,2020Q3
14,USD,243000000,None,None,268000000,353000000,72000000,91000000,104000000,268000000,157000000,-36000000,238000000,0,None,None,None,None,None,None,None,None,None,39000000,None,157000000,None,157000000,2020Q2
15,USD,-65000000,None,None,-429000000,-63000000,68000000,55000000,-168000000,74000000,162000000,-73000000,2000000,None,None,None,None,None,None,None,None,None,None,3000000,None,-136000000,None,162000000,2020Q1
16,USD,442000000,73000000,None,552000000,551000000,64000000,42000000,465000000,-58000000,170000000,-26000000,-107000000,None,None,None,None,None,None,None,None,None,None,36000000,None,170000000,None,170000000,2019Q4
17,USD,234000000,18000000,None,8000000,108000000,60000000,55000000,60000000,25000000,120000000,57000000,-98000000,None,None,None,None,None,None,None,None,None,None,3000000,None,102000000,None,120000000,2019Q3
18,USD,30000000,13000000,None,-60000000,151000000,52000000,58000000,93000000,60000000,35000000,-7000000,-38000000,None,None,None,None,None,None,None,None,None,None,34000000,None,22000000,None,35000000,2019Q2
19,USD,-213000000,None,None,-127000000,126000000,46000000,62000000,5000000,110000000,16000000,-173000000,286000000,None,None,None,None,None,None,None,None,None,None,450000000,None,-100000000,None,16000000,2019Q1
20,USD,120000000,72000000,None,86000000,213000000,43000000,41000000,53000000,107000000,38000000,-88000000,0,None,None,None,None,None,None,None,0,0,None,26000000,None,38000000,None,38000000,2018Q4
21,USD,76000000,7000000,None,12000000,144000000,41000000,33000000,89000000,-12000000,102000000,11000000,8000000,None,None,None,None,None,None,None,None,None,None,9000000,None,102000000,None,102000000,2018Q3
22,USD,-55000000,None,None,70000000,408000000,42000000,43000000,380000000,35000000,116000000,-68000000,28000000,0,None,None,None,None,None,None,0,0,None,29000000,None,116000000,None,116000000,2018Q2
23,USD,-107000000,None,None,39000000,271000000,44000000,46000000,284000000,21000000,81000000,-25000000,-8000000,0,None,None,None,None,None,None,0,0,None,6000000,None,-140000000,None,81000000,2018Q1
24,USD,324000000,None,None,-75000000,-368000000,39000000,44000000,-371000000,8000000,61000000,17000000,-34000000,None,None,None,None,None,None,None,0,0,None,5000000,None,306000000,None,-19000000,2017Q4
25,USD,69000000,None,None,2000000,126000000,36000000,34000000,22000000,28000000,71000000,51000000,2000000,28000000,None,None,None,None,None,None,0,0,None,5000000,None,119000000,None,61000000,2017Q3
26,USD,-82000000,None,None,-62000000,111000000,35000000,12000000,43000000,43000000,-13000000,124000000,-4000000,None,None,None,None,None,None,None,None,None,None,2000000,None,38000000,None,-42000000,2017Q2
27,USD,-299000000,None,None,60000000,348000000,34000000,23000000,395000000,-76000000,-71000000,-246000000,3000000,None,None,None,None,None,None,None,None,None,None,8000000,None,-542000000,None,-33000000,2017Q1
28,USD,179000000,None,None,-93000000,-318000000,34000000,21000000,-329000000,-46000000,-49000000,-16000000,-156000000,0,None,None,None,110000000,110000000,None,-1000000,101000000,None,7000000,None,6000000,None,-51000000,2016Q4
29,USD,29000000,None,None,-102000000,14000000,33000000,9000000,-31000000,28000000,-406000000,-10000000,282000000,None,None,None,None,None,None,None,667000000,None,None,668000000,None,301000000,None,-406000000,2016Q3
30,USD,-85000000,None,None,280000000,372000000,33000000,21000000,164000000,69000000,69000000,329000000,-3000000,None,None,None,None,None,None,None,0,None,None,0,None,241000000,None,69000000,2016Q2
31,USD,-42000000,None,None,-27000000,-51000000,33000000,26000000,-26000000,-3000000,-109000000,-26000000,-1000000,None,None,None,None,None,None,None,None,None,None,None,None,-69000000,None,-109000000,2016Q1
32,USD,59000000,None,None,-82000000,-200000000,34000000,32000000,-116000000,-82000000,-102000000,-32000000,3000000,None,None,None,None,None,None,None,0,None,None,4000000,None,30000000,None,-102000000,2015Q4
33,USD,-56000000,None,None,12000000,-19000000,42000000,25000000,-35000000,-24000000,-197000000,-17000000,-1000000,None,None,None,None,None,None,None,-1000000,None,None,0,None,-74000000,None,-197000000,2015Q3
