,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,0.77,0.77,0,0,2024Q1
1,0.7,0.68,0.02,2.9412,2023Q4
2,0.58,0.57,0.01,1.7544,2023Q3
3,0.6,0.56,0.04,7.1429,2023Q2
4,0.69,0.67,0.02,2.9851,2023Q1
5,0.67,0.68,-0.01,-1.4706,2022Q4
6,1.05,1.03,0.02,1.9417,2022Q3
7,1.13,0.91,0.22,24.1758,2022Q2
8,0.92,0.76,0.16,21.0526,2022Q1
9,0.73,0.67,0.06,8.9552,2021Q4
10,0.63,0.54,0.09,16.6667,2021Q3
11,0.52,0.44,0.08,18.1818,2021Q2
12,0.52,0.47,0.05,10.6383,2021Q1
13,0.41,0.36,0.05,13.8889,2020Q4
14,0.18,0.16,0.02,12.5,2020Q3
15,0.18,0.18,0,0,2020Q2
16,0.32,0.31,0.01,3.2258,2020Q1
17,0.18,0.18,0,0,2019Q4
18,0.08,0.08,0,0,2019Q3
19,0.06,0.05,0.01,20,2019Q2
20,0.08,0.08,0,0,2019Q1
21,0.13,0.12,0.01,8.3333,2018Q4
22,0.14,0.13,0.01,7.6923,2018Q3
23,0.11,0.09,0.02,22.2222,2018Q2
24,0.08,0.05,0.03,60,2018Q1
25,0.1,0.08,0.02,25,2017Q4
26,0.02,0.0003,0.0197,6566.6667,2017Q3
27,-0.04,-0.04,0,0,2017Q2
28,-0.01,-0.02,0.01,50,2017Q1
29,0.03,0.004,0.026,650,2016Q4
30,-0.05,-0.08,0.03,37.5,2016Q3
31,-0.12,-0.13,0.01,7.6923,2016Q2
32,-0.1,-0.1,0,0,2016Q1
33,-0.17,-0.12,-0.05,-41.6667,2015Q4
34,-0.17,-0.17,0,0,2015Q3
35,-0.09,-0.05,-0.04,-80,2015Q2
36,-0.09,0.01,-0.1,-1000,2015Q1
37,0.03,0.04,-0.01,-25,2014Q4
38,0.02,0.03,-0.01,-33.3333,2014Q3
39,0.02,None,None,None,2014Q2
40,0.06,0.05,0.01,20,2014Q1
41,0.04,0.02,0.02,100,2013Q4
42,-0.09,-0.12,0.03,25,2013Q3
43,-0.13,-0.18,0.05,27.7778,2013Q2
44,-0.14,-0.2,0.06,30,2013Q1
45,-0.2,-0.15,-0.05,-33.3333,2012Q4
46,0.06,0.07,-0.01,-14.2857,2012Q3
47,0.12,0.09,0.03,33.3333,2012Q2
48,0.19,0.16,0.03,18.75,2012Q1
49,0.15,0.1,0.05,50,2011Q4
50,0.09,0.08,0.01,12.5,2011Q3
51,0.08,0.05,0.03,60,2011Q2
52,0.14,0.11,0.03,27.2727,2011Q1
53,0.15,0.06,0.09,150,2010Q4
54,0.11,0.06,0.05,83.3333,2010Q3
55,0.09,-0.04,0.13,325,2010Q2
56,1.52,-0.18,1.7,944.4444,2010Q1
57,-0.18,-0.42,0.24,57.1429,2009Q4
58,-0.49,-0.47,-0.02,-4.2553,2009Q3
59,-0.66,-0.66,0,0,2009Q2
60,-0.69,-0.54,-0.15,-27.7778,2009Q1
61,0.13,-0.4,0.53,132.5,2008Q4
62,-0.6,-0.52,-0.08,-15.3846,2008Q3
63,-0.51,-0.51,0,0,2008Q2
64,-0.17,-0.36,0.19,52.7778,2008Q1
65,-0.49,-0.62,0.13,20.9677,2007Q4
66,-0.95,-0.85,-0.1,-11.7647,2007Q3
67,-0.9,-0.48,-0.42,-87.5,2007Q2
68,-0.04,0.1,-0.14,-140,2007Q1
69,0.27,0.24,0.03,12.5,2006Q4
70,0.18,0.22,-0.04,-18.1818,2006Q3
71,0.38,0.29,0.09,31.0345,2006Q2
72,0.45,0.26,0.19,73.0769,2006Q1
73,0.18,0.08,0.1,125,2005Q4
74,0.03,-0.05,0.08,160,2005Q3
75,-0.04,0.02,-0.06,-300,2005Q2
76,0.05,0.08,-0.03,-37.5,2005Q1
77,0.12,0.12,0,0,2004Q4
78,0.09,0.09,0,0,2004Q3
79,0.12,0.04,0.08,200,2004Q2
80,0.12,0.04,0.08,200,2004Q1
81,-0.09,-0.36,0.27,75,2003Q4
82,-0.4,-0.53,0.13,24.5283,2003Q3
83,-0.42,-0.48,0.06,12.5,2003Q2
84,-0.68,-0.42,-0.26,-61.9048,2003Q1
85,-0.74,-0.67,-0.07,-10.4478,2002Q4
