,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Quarter
0,USD,-61000000,4896000000,61000000,820000000,1585000000,624000000,None,3046000000,159000000,-82000000,159000000,82000000,4631000000,None,None,150000000,1813000000,438000000,82000000,-122000000,1636000000,1895000000,2045000000,1375000000,2023Q4
1,USD,2435000000,4440000000,2005000000,880000000,1637000000,546000000,145000000,2885000000,139000000,-82000000,171000000,82000000,4522000000,None,None,39000000,1817000000,213000000,82000000,1595000000,1383000000,1899000000,1938000000,1604000000,2023Q3
2,USD,2408000000,4394000000,1986000000,2291000000,1615000000,520000000,141000000,2848000000,89000000,-69000000,89000000,69000000,4463000000,None,None,37000000,1809000000,443000000,69000000,1423000000,1461000000,1878000000,1915000000,1366000000,2023Q2
3,USD,2199000000,4184000000,1985000000,2247000000,1438000000,521000000,135000000,2805000000,86000000,-59000000,86000000,59000000,4243000000,175000000,None,37000000,1542000000,385000000,59000000,1169000000,1283000000,1601000000,1638000000,1157000000,2023Q1
4,USD,-91000000,19735000000,91000000,2202000000,1427000000,580000000,None,2910000000,72000000,-54000000,225000000,54000000,4337000000,279000000,None,137000000,1604000000,345000000,54000000,-182000000,1630000000,1658000000,1795000000,1259000000,2022Q4
5,USD,6641000000,8572000000,1931000000,2193000000,1526000000,554000000,None,2785000000,41000000,-50000000,41000000,50000000,4311000000,215000000,None,38000000,1736000000,330000000,50000000,1361000000,1025000000,1786000000,1824000000,1406000000,2022Q3
6,USD,7016000000,8998000000,1982000000,2290000000,1668000000,530000000,None,2858000000,21000000,-54000000,21000000,54000000,4526000000,-293000000,None,38000000,1435000000,358000000,54000000,963000000,661000000,1489000000,1527000000,1077000000,2022Q2
7,USD,7312000000,9344000000,2032000000,2401000000,1764000000,496000000,None,2935000000,18000000,-54000000,138000000,54000000,4699000000,-84000000,None,38000000,1699000000,263000000,54000000,1363000000,1311000000,1753000000,1791000000,1436000000,2022Q1
8,USD,19912000000,22175000000,2263000000,2465000000,2039000000,564000000,None,3067000000,46000000,-50000000,71000000,50000000,5106000000,121000000,None,140000000,2121000000,478000000,50000000,1632000000,1619000000,2171000000,2311000000,1643000000,2021Q4
9,USD,7876000000,10052000000,2176000000,2466000000,1935000000,611000000,None,3115000000,14000000,-48000000,336000000,48000000,5050000000,384000000,None,38000000,2199000000,518000000,48000000,1753000000,1543000000,2247000000,2285000000,1681000000,2021Q3
10,USD,7542000000,9588000000,2046000000,2391000000,1931000000,461000000,None,2889000000,8000000,-52000000,8000000,52000000,4820000000,322000000,None,37000000,2032000000,654000000,52000000,1547000000,1401000000,2084000000,2121000000,1378000000,2021Q2
11,USD,6713000000,8741000000,2028000000,2234000000,1545000000,585000000,None,2853000000,19000000,-55000000,19000000,55000000,4398000000,101000000,None,34000000,1517000000,318000000,55000000,1273000000,1125000000,1572000000,1606000000,1199000000,2021Q1
12,USD,16337000000,18305000000,1968000000,2129000000,1848000000,474000000,None,2630000000,28000000,-54000000,28000000,54000000,4478000000,373000000,None,153000000,1975000000,427000000,54000000,1740000000,1812000000,2029000000,2182000000,1548000000,2020Q4
13,USD,6785000000,8684000000,1899000000,2124000000,1757000000,461000000,None,2612000000,9000000,-54000000,224000000,54000000,4369000000,278000000,None,27000000,1828000000,464000000,54000000,1517000000,1544000000,1882000000,1909000000,1364000000,2020Q3
14,USD,5678000000,7245000000,1567000000,1827000000,1406000000,388000000,None,2242000000,10000000,-51000000,10000000,51000000,3648000000,408000000,None,27000000,1575000000,361000000,51000000,1402000000,1243000000,1626000000,1653000000,1214000000,2020Q2
15,USD,5070000000,7374000000,2304000000,1859000000,684000000,1142000000,None,3026000000,15000000,-46000000,15000000,46000000,3710000000,-25000000,None,25000000,792000000,-14000000,46000000,627000000,567000000,838000000,863000000,806000000,2020Q1
16,USD,3977000000,3977000000,1841000000,1895000000,1538000000,515000000,None,2439000000,29000000,-51000000,29000000,51000000,3977000000,147000000,None,114000000,1601000000,300000000,51000000,1538000000,1514000000,1652000000,1766000000,1301000000,2019Q4
17,USD,5806000000,7330000000,1524000000,1777000000,1502000000,385000000,None,2190000000,19000000,-54000000,19000000,54000000,3692000000,12000000,None,28000000,1460000000,341000000,54000000,1119000000,999000000,1514000000,1542000000,1119000000,2019Q3
18,USD,5418000000,6996000000,1578000000,1751000000,1278000000,470000000,None,2246000000,20000000,-52000000,20000000,52000000,3524000000,109000000,None,25000000,1325000000,322000000,52000000,1013000000,962000000,1377000000,1402000000,1003000000,2019Q2
19,USD,5179000000,6646000000,1467000000,1710000000,1233000000,388000000,None,2113000000,29000000,-46000000,29000000,46000000,3346000000,171000000,None,15000000,1351000000,298000000,46000000,1060000000,1121000000,1397000000,1412000000,1053000000,2019Q1
