,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
0,USD,18672000,4309000,None,None,None,8051000,292000,None,None,-3054000,-292000,-20376000,None,2169000,2169000,None,None,None,None,None,214062000,None,-1413000,None,None,None,-3054000,2023Q4
1,USD,8947000,8797000,None,None,None,8014000,503000,None,None,6365000,-503000,-5580000,None,464000,464000,None,None,None,None,None,0,None,1394000,None,None,None,6365000,2023Q3
2,USD,18197000,6138000,None,None,None,8004000,987000,None,None,6727000,-987000,-18733000,None,196000,196000,None,None,None,None,None,0,None,1267000,None,-1523000,None,6727000,2023Q2
3,USD,6927000,5915000,None,None,None,7846000,1892000,None,None,5899000,-1892000,-4291000,None,667000,667000,None,None,None,None,None,0,None,709000,None,744000,None,5899000,2023Q1
4,USD,2680000,8466000,None,None,None,8112000,963000,None,-1512000,5809000,-963000,-5896000,None,2987000,2987000,None,None,None,None,None,0,None,-1521000,None,-4179000,None,5779000,2022Q4
5,USD,6524000,17207000,None,None,None,8446000,-2244000,-541000,-39627000,11223000,2243000,-15769000,None,186000,186000,None,None,None,None,None,0,None,2980000,None,-7002000,None,11223000,2022Q3
6,USD,19458000,-6570000,None,None,None,8747000,2554000,None,-1742000,4126000,-2585000,-18497000,None,68000,68000,None,None,None,None,None,0,None,1503000,None,12873000,None,4126000,2022Q2
7,USD,5881000,0,None,None,None,8784000,1210000,None,-1215000,2847000,-1139000,-9914000,None,383000,383000,None,None,None,None,None,0,None,1337000,None,11631000,None,2847000,2022Q1
8,USD,5877000,0,None,None,None,7862000,454000,None,-699000,1187000,-348047000,236962000,None,6025000,6025000,None,None,None,None,None,350000000,None,-1477000,None,-105244000,-36000,1187000,2021Q4
9,USD,15639000,2775000,None,None,None,5677000,612000,11467000,4679000,4588000,-13408000,1663000,None,135000,135000,None,75813000,75813000,None,None,-1000,None,1633000,None,5490000,1596000,4588000,2021Q3
10,USD,20787000,0,None,None,None,5145000,358000,None,1200000,3157000,425000,582000,None,120000,120000,None,None,None,None,None,0,None,612000,None,8302000,-2041000,3157000,2021Q2
11,USD,12985000,1784000,None,None,None,5002000,510000,None,1200000,2928000,-7605000,72790000,None,419000,419000,None,None,None,None,None,618000,None,76342000,None,7930000,-244000,2928000,2021Q1
12,USD,8312000,911000,None,None,None,5050000,777000,None,-882000,-340000,-777000,-12793000,None,1446000,1446000,None,None,None,None,None,0,None,2832000,None,-4866000,392000,-307000,2020Q4
13,USD,15325000,4009000,None,None,None,5140000,206000,5539000,-11133000,37518000,-206000,-14618000,None,99000,99000,None,None,None,None,None,0,None,1007000,None,37518000,-1457000,4433000,2020Q3
14,USD,31836000,835000,None,None,None,5306000,259000,None,-11133000,1766000,-259000,-34710000,None,8000,8000,None,None,None,None,None,9018000,None,613000,None,7072000,132000,1766000,2020Q2
15,USD,9384000,759000,None,None,None,5236000,238000,None,-11133000,2004000,-238000,62000,None,107000,107000,None,None,None,None,None,0,None,687000,None,7240000,-194000,2004000,2020Q1
16,USD,-22067000,416000,None,None,None,3617000,196000,None,-186000,208000,-136294000,112869000,None,1577000,1577000,None,None,None,None,None,110000000,None,2869000,None,-43720000,1772000,208000,2019Q4
