,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,Quarter
0,2.15,2.11,0.04,1.8957,post-market,2025Q1
1,2.12,1.85,0.27,14.5946,post-market,2024Q4
2,1.89,1.84,0.05,2.7174,post-market,2024Q3
3,1.89,1.51,0.38,25.1656,post-market,2024Q2
4,1.64,1.59,0.05,3.1447,post-market,2024Q1
5,1.55,1.45,0.1,6.8966,pre-market,2023Q4
6,1.44,1.34,0.1,7.4627,post-market,2023Q3
7,1.17,1.06,0.11,10.3774,post-market,2023Q2
8,1.05,1.19,-0.14,-11.7647,post-market,2023Q1
9,1.06,1.25,-0.19,-15.2,post-market,2022Q4
10,1.21,1.3,-0.09,-6.9231,post-market,2022Q3
11,1.23,1.29,-0.06,-4.6512,post-market,2022Q2
12,1.53,1.38,0.15,10.8696,post-market,2022Q1
13,1.4,1.17,0.23,19.6581,post-market,2021Q4
14,1.36,0.96,0.4,41.6667,post-market,2021Q3
15,1.31,0.79,0.52,65.8228,post-market,2021Q2
16,1.12,0.8,0.32,40,post-market,2021Q1
17,0.82,0.56,0.26,46.4286,post-market,2020Q4
18,0.51,0.42,0.09,21.4286,post-market,2020Q3
19,0.4935,0.519,-0.0255,-4.9133,post-market,2020Q2
20,0.7675,0.6295,0.138,21.9222,post-market,2020Q1
21,0.506,0.623,-0.117,-18.7801,post-market,2019Q4
22,0.7105,0.5665,0.144,25.4192,post-market,2019Q3
23,0.475,0.5315,-0.0565,-10.6303,post-market,2019Q2
24,0.6385,0.541,0.0975,18.0222,post-market,2019Q1
25,0.653,0.52,0.133,25.5769,post-market,2018Q4
26,0.227,0.477,-0.25,-52.4109,post-market,2018Q3
27,0.6665,0.466,0.2005,43.0258,post-market,2018Q2
28,0.485,0.498,-0.013,-2.6104,post-market,2018Q1
29,0.4785,0.4165,0.062,14.886,post-market,2017Q4
30,0.2505,0.2235,0.027,12.0805,post-market,2017Q3
31,0.3865,0.3695,0.017,4.6008,post-market,2017Q2
32,0.468,0.4835,-0.0155,-3.2058,post-market,2017Q1
33,0.453,0.432,0.021,4.8611,post-market,2016Q4
34,0.421,0.4015,0.0195,4.8568,post-market,2016Q3
35,0.375,0.398,-0.023,-5.7789,post-market,2016Q2
36,0.4335,0.405,0.0285,7.037,post-market,2016Q1
37,0.3675,0.3605,0.007,1.9417,post-market,2015Q4
38,0.3495,0.337,0.0125,3.7092,post-market,2015Q3
39,0.3285,6.71,-6.3815,-95.1043,post-market,2015Q2
40,0.344,6.93,-6.586,-95.0361,post-market,2015Q1
41,0.3175,6.33,-6.0125,-94.9842,post-market,2014Q4
42,6.08,6.57,-0.49,-7.4581,pre-market,2014Q3
43,6.27,6.35,-0.08,-1.2598,pre-market,2014Q2
