,Quarter,1. open,2. high,3. low,4. close,5. volume
0,2014Q1,565.3633333333333,567.1433333333333,556.1733333333333,558.4733333333334,21666.666666666668
1,2014Q2,544.4297777777778,549.5642634920636,538.0735825396825,544.1707936507937,2247576.1904761903
2,2014Q3,580.02,583.425428125,575.7631109375,579.9004515625,1492559.0
3,2014Q4,539.09328125,543.0480421875,533.8927515624999,538.1259375,1973834.453125
4,2015Q1,537.2918032786886,541.9589409836066,532.3310098360655,537.442131147541,1985878.0819672132
5,2015Q2,536.7956349206349,540.1294190476191,532.5672682539682,536.1807936507936,1722107.0476190476
6,2015Q3,615.0498828125,622.151534375,607.4325296874999,614.56703125,2571455.484375
7,2015Q4,716.83125,723.4478546875,709.999696875,717.57203125,1977482.75
8,2016Q1,717.2834426229508,724.9774327868852,708.2347295081968,716.4008196721311,2502555.0
9,2016Q2,718.52046875,723.6753515625,712.964003125,718.31328125,1820797.890625
10,2016Q3,758.2453125,762.8379296875,754.738446875,759.42484375,1310952.234375
11,2016Q4,780.2350793650793,785.615946031746,773.6348984126984,779.088253968254,1726070.0317460317
12,2017Q1,819.7908064516129,823.7535435483871,815.3186403225807,820.3882258064516,1497785.2419354839
13,2017Q2,915.2363492063492,920.9607396825396,908.8710365079365,915.6244444444445,1575883.9682539683
14,2017Q3,930.9474603174604,936.8983396825397,924.8222142857143,931.5844444444444,1427299.0
15,2017Q4,1016.8961904761904,1024.3488333333332,1010.7236650793651,1017.9190476190477,1300790.7936507936
16,2018Q1,1104.4827868852458,1116.6176885245902,1091.2800163934428,1103.9903278688525,1816414.7540983607
17,2018Q2,1079.36734375,1090.51671875,1070.059609375,1080.68515625,1651970.515625
18,2018Q3,1197.0642857142857,1207.3902380952381,1187.021380952381,1197.94,1422808.9523809524
19,2018Q4,1073.5566666666668,1088.8546825396825,1055.8281587301587,1070.5084126984127,1991876.1587301588
20,2019Q1,1119.9084426229508,1130.6604918032785,1110.1707049180327,1122.1524590163935,1496856.2786885246
21,2019Q2,1153.5307936507936,1161.9345555555553,1144.3630476190476,1153.809365079365,1512432.1904761905
22,2019Q3,1181.65515625,1192.25909375,1173.111703125,1183.39984375,1391568.34375
23,2019Q4,1289.27640625,1298.65196875,1282.711671875,1290.56515625,1278190.125
24,2020Q1,1353.4270967741934,1374.3750806451615,1334.587,1356.975806451613,2288846.306451613
25,2020Q2,1348.2519365079365,1365.4899523809524,1331.6094761904762,1349.5599206349204,1857997.5714285714
26,2020Q3,1524.8071046875,1544.7486703125,1506.172184375,1525.829375,1768907.984375
27,2020Q4,1685.786709375,1706.114921875,1669.884728125,1687.30171875,1650549.921875
28,2021Q1,1980.1859016393441,2007.3807606557377,1959.8536098360655,1984.172131147541,1590020.9180327868
29,2021Q2,2380.2289984126983,2399.209865079365,2364.2255539682537,2383.6392063492062,1327124.650793651
30,2021Q3,2755.6663171874998,2775.4373546875,2736.203553125,2757.40390625,1042285.8125
31,2021Q4,2890.03866875,2916.7032,2862.31661875,2890.57875,1107825.765625
32,2022Q1,2725.5687903225808,2759.393724193548,2684.2222548387094,2719.041935483871,1598710.7258064516
33,2022Q2,2366.6363709677416,2402.1117258064514,2330.5212677419354,2363.106935483871,1536287.0161290322
34,2022Q3,448.650078125,456.9939453125,443.4188515625,451.71046875,20363920.359375
35,2022Q4,95.46126984126985,96.89693968253968,94.1624126984127,95.43666666666667,26773762.984126985
36,2023Q1,96.10446774193548,97.67794193548387,95.04949677419354,96.55709677419355,32358619.258064516
37,2023Q2,115.40444516129033,117.01578709677419,114.34646451612903,115.7550806451613,25854149.83870968
38,2023Q3,130.00273492063494,131.4090380952381,128.80642857142857,130.02269841269842,21886815.936507937
39,2023Q4,135.4714126984127,136.8270761904762,134.33273809523808,135.68539682539682,22263122.777777776
40,2024Q1,145.2709696969697,146.7105909090909,144.11732424242425,145.5330303030303,21477143.666666668
