,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,2.82,2.77,0.05,1.8051,2024Q1
1,3.81,3.76,0.05,1.3298,2023Q4
2,4.65,4.45,0.2,4.4944,2023Q3
3,3.82,3.8,0.02,0.5263,2023Q2
4,3.3,3.28,0.02,0.6098,2023Q1
5,4.24,4.12,0.12,2.9126,2022Q4
6,5.05,4.94,0.11,2.2267,2022Q3
7,4.09,3.68,0.41,11.1413,2022Q2
8,3.21,3.18,0.03,0.9434,2022Q1
9,3.92,3.4,0.52,15.2941,2021Q4
10,4.53,4.44,0.09,2.027,2021Q3
11,3.86,3.08,0.78,25.3247,2021Q2
12,2.65,2.62,0.03,1.145,2021Q1
13,3.18,3.06,0.12,3.9216,2020Q4
14,4.02,3.71,0.31,8.3558,2020Q3
15,2.08,2.27,-0.19,-8.37,2020Q2
16,2.28,2.1,0.18,8.5714,2020Q1
17,2.53,2.52,0.01,0.3968,2019Q4
18,3.17,3.08,0.09,2.9221,2019Q3
19,2.27,2.18,0.09,4.1284,2019Q2
20,2.25,2.16,0.09,4.1667,2019Q1
21,2.51,2.26,0.25,11.0619,2018Q4
22,3.05,2.84,0.21,7.3944,2018Q3
23,2.08,2.05,0.03,1.4634,2018Q2
24,1.69,1.61,0.08,4.9689,2018Q1
25,1.87,1.82,0.05,2.7473,2017Q4
26,2.25,2.22,0.03,1.3514,2017Q3
27,1.67,1.62,0.05,3.0864,2017Q2
28,1.44,1.34,0.1,7.4627,2017Q1
29,1.6,1.58,0.02,1.2658,2016Q4
30,1.97,1.97,0,0,2016Q3
31,1.44,1.36,0.08,5.8824,2016Q2
32,1.17,1.1,0.07,6.3636,2016Q1
33,1.36,1.32,0.04,3.0303,2015Q4
34,1.71,1.71,0,0,2015Q3
35,1.16,1.15,0.01,0.8696,2015Q2
36,1,0.89,0.11,12.3596,2015Q1
37,1.11,1.13,-0.02,-1.7699,2014Q4
38,1.52,1.45,0.07,4.8276,2014Q3
39,0.96,0.99,-0.03,-3.0303,2014Q2
40,0.73,0.71,0.02,2.8169,2014Q1
41,0.95,0.9,0.05,5.5556,2013Q4
42,1.24,1.21,0.03,2.4793,2013Q3
43,0.83,0.77,0.06,7.7922,2013Q2
44,0.67,0.64,0.03,4.6875,2013Q1
45,0.74,0.7,0.04,5.7143,2012Q4
46,1.01,0.97,0.04,4.1237,2012Q3
47,0.65,0.65,0,0,2012Q2
48,0.5,0.42,0.08,19.0476,2012Q1
49,0.6,0.58,0.02,3.4483,2011Q4
50,0.86,0.83,0.03,3.6145,2011Q3
51,0.5,0.49,0.01,2.0408,2011Q2
52,0.36,0.31,0.05,16.129,2011Q1
53,0.51,0.48,0.03,6.25,2010Q4
54,0.72,0.71,0.01,1.4085,2010Q3
55,0.45,0.4,0.05,12.5,2010Q2
56,0.24,0.17,0.07,41.1765,2010Q1
57,0.41,0.36,0.05,13.8889,2009Q4
58,0.64,0.59,0.05,8.4746,2009Q3
59,0.35,0.29,0.06,20.6897,2009Q2
60,0.19,0.15,0.04,26.6667,2009Q1
61,0.45,0.38,0.07,18.4211,2008Q4
62,0.71,0.61,0.1,16.3934,2008Q3
63,0.41,0.37,0.04,10.8108,2008Q2
64,0.4,0.43,-0.03,-6.9767,2008Q1
65,0.59,0.6,-0.01,-1.6667,2007Q4
66,0.77,0.72,0.05,6.9444,2007Q3
67,0.48,0.59,-0.11,-18.6441,2007Q2
68,0.5,0.5,0,0,2007Q1
69,0.73,0.75,-0.02,-2.6667,2006Q4
70,0.9,0.92,-0.02,-2.1739,2006Q3
71,0.7,0.67,0.03,4.4776,2006Q2
72,0.6,0.56,0.04,7.1429,2006Q1
73,0.72,0.68,0.04,5.8824,2005Q4
74,0.82,0.79,0.03,3.7975,2005Q3
75,0.57,0.55,0.02,3.6364,2005Q2
76,0.47,0.47,0,0,2005Q1
77,0.6,0.57,0.03,5.2632,2004Q4
78,0.7,0.64,0.06,9.375,2004Q3
79,0.49,0.43,0.06,13.9535,2004Q2
80,0.42,0.39,0.03,7.6923,2004Q1
81,0.5,0.46,0.04,8.6957,2003Q4
82,0.56,0.54,0.02,3.7037,2003Q3
83,0.39,0.37,0.02,5.4054,2003Q2
84,0.3,0.27,0.03,11.1111,2003Q1
85,0.4,0.4,0,0,2002Q4
86,0.5,0.47,0.03,6.383,2002Q3
87,0.36,0.33,0.03,9.0909,2002Q2
88,0.3,0.28,0.02,7.1429,2002Q1
89,0.33,0.33,0,0,2001Q4
90,0.39,0.37,0.02,5.4054,2001Q3
91,0.27,0.25,0.02,8,2001Q2
92,0.2,0.2,0,0,2001Q1
93,0.28,0.28,0,0,2000Q4
94,0.36,0.37,-0.01,-2.7027,2000Q3
95,0.27,0.27,0,0,2000Q2
96,0.25,0.24,0.01,4.1667,2000Q1
97,0.25,0.23,0.02,8.6957,1999Q4
98,0.29,0.29,0,0,1999Q3
99,0.22,0.19,0.03,15.7895,1999Q2
100,0.19,0.17,0.02,11.7647,1999Q1
101,0.17,0.17,0,0,1998Q4
102,0.21,0.2,0.01,5,1998Q3
103,0.15,0.14,0.01,7.1429,1998Q2
104,0.14,0.14,0,0,1998Q1
105,0.13,0.13,0,0,1997Q4
106,0.16,0.15,0.01,6.6667,1997Q3
107,0.12,0.11,0.01,9.0909,1997Q2
108,0.12,0.11,0.01,9.0909,1997Q1
109,0.1,0.1,0,0,1996Q4
110,0.12,0.12,0,0,1996Q3
111,0.09,0.09,0,0,1996Q2
