,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
0,USD,-109382000,None,None,None,None,55873000,1967000,None,None,None,-253741000,255569000,None,None,None,None,None,None,None,None,None,None,0,None,None,None,-544135000,2023Q3
1,USD,-106088000,None,None,None,None,53122000,2370000,-2911000,None,None,-106104000,166172000,None,None,None,None,None,None,None,None,None,None,0,None,-46020000,None,-19141000,2023Q2
2,USD,-144270000,None,None,None,None,51908000,1272000,-1836000,None,None,-94096000,28601000,None,None,None,None,None,None,None,None,None,None,56000,None,-209765000,None,-22627000,2023Q1
3,USD,109750000,None,None,None,None,52682000,734000,None,None,None,-220695000,127749000,None,None,None,None,None,None,None,None,None,None,-403518000,None,None,None,53364000,2022Q4
4,USD,310731000,None,None,None,None,49929000,636000,-4070000,None,None,-115370000,-191677000,None,None,None,None,None,None,None,None,None,None,-39218000,None,3684000,None,107669000,2022Q3
5,USD,5533000,None,None,None,None,49066000,353000,-369000,None,None,-74314000,-62115000,None,None,None,None,None,None,None,None,None,None,-185352000,None,-130896000,None,21432000,2022Q2
6,USD,-100760000,None,None,None,None,48633000,281000,11996000,None,None,33859000,-96216000,None,None,None,None,None,None,None,None,None,None,-179293000,None,-163117000,None,2171000,2022Q1
7,USD,-243558000,None,None,None,None,49853000,591000,41475000,None,None,-75444000,87070000,None,None,None,None,None,None,None,None,None,None,-79549000,None,-231932000,None,111349000,2021Q4
8,USD,39535000,None,None,None,None,56222000,292000,-5674000,None,None,187779000,-61489000,None,None,None,None,None,None,None,None,None,None,1558000,None,165825000,None,2117000,2021Q3
9,USD,4807000,None,None,None,None,49750000,531000,-8485000,None,None,46108000,57501000,None,None,None,None,None,None,None,None,None,None,1719000,None,108416000,None,3617000,2021Q2
10,USD,-84742000,None,None,None,None,49327000,400000,-3578000,None,None,-56985000,73058000,None,None,None,None,None,None,None,None,None,None,3479000,None,-68669000,None,-68159000,2021Q1
11,USD,96930000,None,None,None,None,56499000,781000,96161000,None,None,-24024000,79592000,None,None,None,None,None,None,None,None,None,None,3230000,None,152498000,None,-7990000,2020Q4
12,USD,-71155000,None,None,None,None,52398000,232000,-2619000,None,None,-137033000,110405000,None,None,None,None,None,None,None,None,None,None,3000,None,-97783000,None,164002000,2020Q3
