,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Quarter
0,USD,4762528000,267895000,46817000,46817000,None,183815000,4470360000,28941000,130464000,3626476000,3626476000,None,None,None,None,11506999,None,2597556000,323273000,None,236686000,483000,10946000,2282583000,61086000,2182108000,483000,2182108000,2182108000,51538000,22208000,2164972000,782104000,-999234000,26000,19689000,2023Q4
1,USD,3373941000,199565000,45009000,45009000,1865000,128650000,3150220000,30192000,None,2451374000,2451374000,None,None,None,None,24041000,None,2533546000,267721000,None,186805000,475000,475000,2265825000,59720000,2180038000,475000,2180038000,2180038000,53773000,18231000,840395000,782104000,-1088360000,23000,14221000,2023Q3
2,USD,3363104000,209634000,65968000,65968000,2085000,121901000,3131049000,30507000,None,2323252000,2323252000,None,None,None,None,19680000,None,2543986000,272930000,None,207061000,468000,468000,2271056000,63814000,2177974000,468000,2177974000,2177974000,42985000,17826000,819118000,782104000,-944919000,23000,13247000,2023Q2
3,USD,3026402000,259676000,94311000,94311000,2153000,139178000,2742901000,31338000,None,2000392000,2000392000,None,None,None,None,24034000,None,2583191000,312399000,None,223414000,460000,460000,2270792000,65355000,2175918000,460000,2175918000,2175918000,49567000,17675000,443211000,782104000,-967162000,22000,11834000,2023Q1
4,USD,2410272000,264566000,43835000,43835000,7033000,189280000,2121790000,32311000,125317000,1840028000,1840028000,None,None,None,0,24418000,None,2793392000,317403000,None,230191000,454000,454000,2482089000,67344000,2378560000,454000,2378560000,2378560000,56545000,17124000,-383120000,782104000,-1428355000,20000,11387000,2022Q4
5,USD,2545286000,202293000,60390000,60390000,None,109926000,2322001000,33033000,None,1993032000,1993032000,None,None,None,None,31977000,None,2745575000,260520000,None,174688000,None,36846000,2485055000,69278000,2376935000,None,2376935000,2376935000,20894000,30088000,-200289000,782104000,-1178686000,20000,11308000,2022Q3
6,USD,2568365000,219682000,69386000,69386000,None,118645000,2330897000,34580000,None,1987781000,1987781000,None,None,None,None,31651000,None,2755433000,274100000,None,196595000,None,35960000,2487533000,72162000,2374863000,None,2374863000,2374863000,14082000,25706000,-187068000,782104000,-1151607000,20000,11300000,2022Q2
7,USD,3638387000,246988000,92677000,92677000,None,126930000,3373218000,35680000,None,2895619000,2895619000,None,None,None,None,27381000,None,2775388000,304875000,None,214453000,None,44388000,2476713000,73956000,2361865000,None,2361865000,2361865000,9882000,26347000,862999000,782104000,-89309000,20000,11289000,2022Q1
8,USD,3557124000,267965000,63356000,63356000,None,189280000,3273339000,36587000,122630000,2850210000,2850210000,None,None,None,0,15329000,None,2578166000,311985000,None,217949000,None,46084000,2272381000,76608000,2155151000,0,2155151000,2155151000,9957000,26224000,978958000,782104000,41442000,20000,10686000,2021Q4
9,USD,2986244000,197622000,56975000,56975000,None,123748000,2773765000,38133000,None,2405739000,2405739000,None,None,None,None,16899000,None,2524930000,253910000,None,168999000,None,45454000,2275320000,78939000,2153034000,None,2153034000,2153034000,93213000,28934000,461314000,782104000,131419000,19000,9999000,2021Q3
10,USD,2624359000,208458000,56399000,56399000,None,131516000,2400145000,39659000,None,2051039000,2051039000,None,None,2051039000,None,20543000,None,2546940000,274998000,None,190080000,None,41236000,2276642000,80900000,2150927000,None,2150927000,2150927000,92180000,31040000,77419000,782104000,167555000,18000,9746000,2021Q2
11,USD,2443079000,250754000,82544000,82544000,None,150626000,2215398000,41091000,None,1946582000,1946582000,None,None,1946582000,None,17584000,None,2078041000,283620000,None,213497000,None,39816000,1799021000,81849000,1724443000,None,1661914000,1724443000,84640000,34329000,365038000,782104000,466902000,18000,9647000,2021Q1
12,USD,1465612000,272620000,59675000,59675000,None,197461000,1177377000,42975000,118749000,1054302000,1054302000,None,None,1054302000,0,15484000,None,912567000,285618000,None,205912000,None,4955000,631549000,84328000,486366000,None,486366000,486366000,94368000,33382000,553045000,782104000,575965000,18000,9405000,2020Q4
13,USD,772905000,218436000,52653000,52653000,None,148512000,539106000,45473000,None,380800000,380800000,None,None,380758000,0,17271000,None,383613000,243690000,None,172502000,None,38668000,142623000,95591000,None,None,None,95591000,82845000,32651000,389292000,782104000,573304000,18000,9616000,2020Q3
14,USD,833046000,672773000,420899000,530871000,None,123794000,145677000,45300000,None,None,None,None,None,None,109972000,18108000,None,374586000,239917000,None,173553000,None,31468000,137369000,98283000,None,None,None,98283000,72274000,30452000,458460000,720755000,587533000,18000,9739000,2020Q2
15,USD,849271000,693062000,429276000,539222000,None,124935000,130313000,47623000,None,None,None,None,None,None,109946000,28905000,None,387845000,252637000,None,188551000,None,32539000,137784000,100251000,None,None,None,100251000,67746000,31273000,461426000,709627000,584146000,18000,9976000,2020Q1
16,USD,916571000,753446000,456727000,565646000,None,163516000,135692000,50154000,108747000,None,None,None,None,None,108919000,24284000,None,408012000,269818000,None,191451000,9602000,None,139868000,103424000,None,9602000,None,103424000,48792000,30400000,508559000,658880000,583489000,18000,10205000,2019Q4
17,USD,888716000,721754000,375071000,578289000,None,118002000,138987000,51993000,None,None,None,None,None,None,203218000,25463000,None,373297000,230699000,None,164731000,9312000,28626000,146364000,105291000,None,9312000,None,105291000,13203000,32786000,515419000,634405000,571322000,18000,10251000,2019Q3
18,USD,899720000,727288000,261497000,574846000,None,129144000,54285000,54285000,None,None,None,None,None,None,313349000,23298000,None,397031000,250647000,None,None,None,32300000,43301000,108183000,None,None,None,108183000,9261000,33990000,502689000,634405000,561622000,18000,10240000,2019Q2
19,USD,888344000,718412000,258743000,551057000,None,133922000,54832000,54832000,None,None,None,None,None,None,292314000,33433000,None,410038000,264010000,None,None,None,37227000,44367000,106661000,106661000,9102000,None,106661000,-514000,34793000,478306000,634405000,541228000,18000,10328000,2019Q1
20,USD,855768000,778399000,109924000,576110000,None,171359000,51919000,51919000,103744000,None,None,None,None,None,466186000,30930000,None,326037000,258269000,None,183009000,None,None,72532000,None,None,None,None,None,48045000,61262000,529731000,586161000,549134000,18000,11126000,2018Q4
21,USD,913504000,838466000,112082000,699175000,None,110761000,51861000,51861000,None,None,None,None,None,None,587093000,28530000,None,278081000,211864000,None,None,None,None,70717000,None,None,None,None,None,37819000,61290000,635423000,475184000,545833000,18000,11467000,2018Q3
