,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,1.46,1.3,0.16,12.3077,2024Q1
1,1.38,1.16,0.22,18.9655,2023Q4
2,1.44,1.28,0.16,12.5,2023Q3
3,1.1,0.93,0.17,18.2796,2023Q2
4,1.05,0.78,0.27,34.6154,2023Q1
5,0.83,0.69,0.14,20.2899,2022Q4
6,0.8,0.76,0.04,5.2632,2022Q3
7,0.6,0.56,0.04,7.1429,2022Q2
8,0.58,0.55,0.03,5.4545,2022Q1
9,0.55,0.52,0.03,5.7692,2021Q4
10,0.53,0.48,0.05,10.4167,2021Q3
11,0.46,0.43,0.03,6.9767,2021Q2
12,0.52,0.48,0.04,8.3333,2021Q1
13,0.54,0.44,0.1,22.7273,2020Q4
14,0.49,0.46,0.03,6.5217,2020Q3
15,0.39,0.31,0.08,25.8065,2020Q2
16,0.4,0.37,0.03,8.1081,2020Q1
17,0.35,0.34,0.01,2.9412,2019Q4
18,0.49,0.47,0.02,4.2553,2019Q3
19,0.44,0.42,0.02,4.7619,2019Q2
20,0.5,0.41,0.09,21.9512,2019Q1
21,0.39,0.35,0.04,11.4286,2018Q4
22,0.43,0.39,0.04,10.2564,2018Q3
23,0.33,0.32,0.01,3.125,2018Q2
24,0.29,0.26,0.03,11.5385,2018Q1
25,0.25,0.23,0.02,8.6957,2017Q4
26,0.31,0.26,0.05,19.2308,2017Q3
27,0.2,0.18,0.02,11.1111,2017Q2
28,0.21,0.21,0,0,2017Q1
29,0.18,0.17,0.01,5.8824,2016Q4
30,0.17,0.17,0,0,2016Q3
31,0.14,0.14,0,0,2016Q2
32,0.13,0.13,0,0,2016Q1
33,0.12,0.11,0.01,9.0909,2015Q4
34,0.09,0.08,0.01,12.5,2015Q3
35,0.08,0.07,0.01,14.2857,2015Q2
36,0.06,0.06,0,0,2015Q1
37,0.05,0.04,0.01,25,2014Q4
38,0.04,0.04,0,0,2014Q3
39,0.04,0.03,0.01,33.3333,2014Q2
40,0.03,0.03,0,0,2014Q1
41,0.03,0.02,0.01,50,2013Q4
42,0.02,0.02,0,0,2013Q3
43,0.02,0.02,0,0,2013Q2
44,0.02,0.01,0.01,100,2013Q1
45,0.01,0.01,0,0,2012Q4
46,0.01,None,None,None,2012Q3
