,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
0,2.1,1.48,0.62,41.8919,2023Q4
1,1.8,1.39,0.41,29.4964,2023Q3
2,2.05,1.76,0.29,16.4773,2023Q2
3,1.89,1.4,0.49,35,2023Q1
4,1.54,2.13,-0.59,-27.6995,2022Q4
5,0.39,0.72,-0.33,-45.8333,2022Q3
6,2.19,3.07,-0.88,-28.6645,2022Q2
7,3.19,2.86,0.33,11.5385,2022Q1
8,3.03,2.83,0.2,7.0671,2021Q4
9,3.64,3.49,0.15,4.298,2021Q3
10,3.69,2.25,1.44,64,2021Q2
11,2.67,2.54,0.13,5.1181,2021Q1
12,2.79,1.6,1.19,74.375,2020Q4
13,3.38,1.62,1.76,108.642,2020Q3
14,0.59,0.4,0.19,47.5,2020Q2
15,1.69,1.66,0.03,1.8072,2020Q1
16,1.36,1.19,0.17,14.2857,2019Q4
17,1.82,1.62,0.2,12.3457,2019Q3
18,1.53,1.43,0.1,6.993,2019Q2
19,1.53,1.52,0.01,0.6579,2019Q1
20,1.09,1.12,-0.03,-2.6786,2018Q4
21,1.47,1.4,0.07,5,2018Q3
22,1.32,1.39,-0.07,-5.036,2018Q2
23,1.37,1.38,-0.01,-0.7246,2018Q1
24,0.91,0.86,0.05,5.814,2017Q4
25,1.23,1.19,0.04,3.3613,2017Q3
26,1.21,0.91,0.3,32.967,2017Q2
27,1.45,1.51,-0.06,-3.9735,2017Q1
28,1.04,0.83,0.21,25.3012,2016Q4
29,1.23,1.12,0.11,9.8214,2016Q3
30,1.29,1.19,0.1,8.4034,2016Q2
31,1.52,1.54,-0.02,-1.2987,2016Q1
32,0.86,0.86,0,0,2015Q4
33,1.22,1.11,0.11,9.9099,2015Q3
34,1.1,1.03,0.07,6.7961,2015Q2
35,1.5,1.46,0.04,2.7397,2015Q1
36,0.54,0.47,0.07,14.8936,2014Q4
37,0.78,0.79,-0.01,-1.2658,2014Q3
38,0.7,0.71,-0.01,-1.4085,2014Q2
39,0.9,0.79,0.11,13.9241,2014Q1
40,0.56,0.63,-0.07,-11.1111,2013Q4
41,0.97,0.96,0.01,1.0417,2013Q3
42,0.82,0.85,-0.03,-3.5294,2013Q2
43,1.47,1.48,-0.01,-0.6757,2013Q1
44,0.81,0.77,0.04,5.1948,2012Q4
45,1.06,1.01,0.05,4.9505,2012Q3
46,1.04,1.01,0.03,2.9703,2012Q2
47,1.43,1.4,0.03,2.1429,2012Q1
48,0.82,0.74,0.08,10.8108,2011Q4
49,1.03,0.97,0.06,6.1856,2011Q3
50,0.99,0.94,0.05,5.3191,2011Q2
51,1.38,1.4,-0.02,-1.4286,2011Q1
52,0.68,0.68,0,0,2010Q4
53,0.92,0.92,0,0,2010Q3
54,0.9,0.86,0.04,4.6512,2010Q2
55,1.24,1.16,0.08,6.8966,2010Q1
56,0.58,0.5,0.08,16,2009Q4
57,0.79,0.66,0.13,19.697,2009Q3
58,0.69,0.6,0.09,15,2009Q2
59,0.81,0.83,-0.02,-2.4096,2009Q1
60,0.49,0.48,0.01,2.0833,2008Q4
61,0.82,0.76,0.06,7.8947,2008Q3
62,0.74,0.71,0.03,4.2254,2008Q2
63,1.23,1.22,0.01,0.8197,2008Q1
64,0.56,0.62,-0.06,-9.6774,2007Q4
65,0.8,0.8,0,0,2007Q3
66,0.75,0.71,0.04,5.6338,2007Q2
67,1.29,1.27,0.02,1.5748,2007Q1
68,0.59,0.55,0.04,7.2727,2006Q4
69,0.7,0.69,0.01,1.4493,2006Q3
70,0.63,0.64,-0.01,-1.5625,2006Q2
71,1.06,1.05,0.01,0.9524,2006Q1
72,0.49,0.45,0.04,8.8889,2005Q4
73,0.61,0.59,0.02,3.3898,2005Q3
74,0.55,0.53,0.02,3.7736,2005Q2
75,0.9,0.89,0.01,1.1236,2005Q1
76,0.37,0.38,-0.01,-2.6316,2004Q4
77,0.4,0.47,-0.07,-14.8936,2004Q3
78,0.48,0.47,0.01,2.1277,2004Q2
79,0.91,0.87,0.04,4.5977,2004Q1
80,0.33,0.33,0,0,2003Q4
81,0.39,0.4,-0.01,-2.5,2003Q3
82,0.38,0.39,-0.01,-2.5641,2003Q2
83,0.75,0.75,0,0,2003Q1
84,0.3,0.28,0.02,7.1429,2002Q4
85,0.38,0.37,0.01,2.7027,2002Q3
86,0.38,0.36,0.02,5.5556,2002Q2
87,0.73,0.72,0.01,1.3889,2002Q1
88,0.25,0.25,0,0,2001Q4
89,0.3,0.3,0,0,2001Q3
90,0.28,0.28,0,0,2001Q2
91,0.61,0.59,0.02,3.3898,2001Q1
92,0.24,0.23,0.01,4.3478,2000Q4
93,0.28,0.28,0,0,2000Q3
94,0.26,0.24,0.02,8.3333,2000Q2
95,0.56,0.55,0.01,1.8182,2000Q1
96,0.26,0.25,0.01,4,1999Q4
97,0.25,0.23,0.02,8.6957,1999Q3
98,0.22,0.19,0.03,15.7895,1999Q2
99,0.49,0.45,0.04,8.8889,1999Q1
100,0.2,0.2,0,0,1998Q4
101,0.18,0.18,0,0,1998Q3
102,0.17,0.16,0.01,6.25,1998Q2
103,0.38,0.36,0.02,5.5556,1998Q1
104,0.17,0.15,0.02,13.3333,1997Q4
105,0.15,0.13,0.02,15.3846,1997Q3
106,0.13,0.09,0.04,44.4444,1997Q2
107,0.32,0.31,0.01,3.2258,1997Q1
