,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Quarter
0,JPY,94674416000000,35760980000000,8285156000000,8285156000000,4480884000000,None,58913436000000,None,None,None,None,None,None,17057548000000,5596225000000,1299776000000,None,57817890000000,29441013000000,None,None,None,None,28376877000000,None,23519846000000,16059840000000,None,None,6081957000000,1578024000000,35910271000000,None,35241066000000,None,13095908183,2024Q4
1,JPY,89169296000000,34365661000000,7631457000000,7631457000000,4505280000000,None,54803635000000,None,None,None,None,None,None,16330222000000,6429654000000,7558835000000,None,53902633000000,27973539000000,None,None,None,14890799000000,25929094000000,None,21620853000000,14890799000000,None,36511652000000,7129806000000,1405585000000,34368513000000,None,33617132000000,397050000000,13294299193,2024Q3
2,JPY,94037319000000,35723850000000,7597094000000,7597094000000,4787791000000,None,58313469000000,None,None,1356564000000,1356564000000,None,None,17302581000000,6029041000000,7197268000000,None,57257947000000,30205278000000,None,None,None,16031974000000,27052669000000,None,22193255000000,16721672000000,None,38914927000000,6957511000000,1520849000000,35737744000000,None,32741232000000,397050000000,13469159202,2024Q2
3,JPY,90114296000000,34714279000000,6245257000000,6245257000000,4605368000000,None,55400017000000,None,None,1355326000000,1355326000000,None,None,17100665000000,3166803000000,5733267000000,None,54874958000000,29177909000000,None,None,None,15406284000000,25697049000000,462568000000,20766384000000,15332829000000,None,36561780000000,8719015000000,1243953000000,34220991000000,None,32795365000000,397050000000,13478667927,2024Q1
4,JPY,84232154000000,31854717000000,7583154000000,7583154000000,4294143000000,None,52377436000000,None,None,1321958000000,1321958000000,None,None,16564864000000,4650916000000,5599262000000,None,50708188000000,27072808000000,None,None,None,14703717000000,23635380000000,None,19256186000000,14703717000000,None,33959903000000,6736582000000,1191952000000,32561697000000,None,31726790000000,397050000000,13494135000,2023Q4
5,JPY,83661391000000,31052438000000,7926063000000,7926063000000,4749878000000,None,52608952000000,14134377000000,None,1309946000000,1309946000000,None,None,16755715000000,3494692000000,4673780000000,None,50808623000000,26904958000000,None,None,None,14068253000000,23903665000000,None,19330739000000,14068253000000,None,33398992000000,6957371000000,1326104000000,31893112000000,None,30747689000000,397050000000,1352258900,2023Q3
6,JPY,80131208000000,28943999000000,7906447000000,7906447000000,4671910000000,None,51187209000000,13807993000000,None,1299050000000,1299050000000,None,None,16603647000000,2287272000000,1008874000000,None,48856804000000,26101761000000,None,None,None,13777028000000,22755043000000,None,18239266000000,13777028000000,None,32016294000000,5237165000000,1294719000000,30330063000000,None,29279685000000,397050000000,1355566300,2023Q2
7,JPY,74303180000000,26459781000000,7516966000000,7516966000000,4255614000000,None,47843399000000,13125342000000,None,1249122000000,1249122000000,None,None,15783776000000,1715675000000,886886000000,None,45038967000000,23959715000000,None,None,None,12305639000000,21079252000000,456120000000,17074634000000,12305639000000,None,29380273000000,6667767000000,1136764000000,28338706000000,None,28343296000000,397050000000,1358102100,2023Q1
8,JPY,71580587000000,24759957000000,6022089000000,6022089000000,4034114000000,None,46820629000000,12889342000000,None,1218945000000,1218945000000,None,None,15430573000000,2029081000000,1007107000000,None,43130564000000,22703027000000,None,None,None,11898754000000,20427537000000,None,16560084000000,11898754000000,None,28458838000000,6576486000000,1254093000000,27535825000000,None,27696192000000,397050000000,1363187266,2022Q4
9,JPY,74484023000000,25808263000000,6980169000000,6980169000000,4266455000000,None,48675758000000,13631585000000,None,1209032000000,1209032000000,None,None,15830501000000,2032204000000,1000211000000,None,45523676000000,24277434000000,None,None,None,12530744000000,21246242000000,None,17266981000000,12530744000000,None,29797725000000,7117518000000,1431986000000,28037253000000,None,27304994000000,397050000000,1368622754,2022Q3
10,JPY,71935191000000,25304067000000,6685012000000,6685012000000,4022898000000,None,46631125000000,13370397000000,None,1190300000000,1190300000000,None,None,14769709000000,2696661000000,947548000000,None,43626648000000,23021132000000,None,None,None,12185076000000,20605516000000,None,16881527000000,12185076000000,None,29066603000000,6854600000000,1203833000000,27374818000000,None,26873431000000,397050000000,1373256900,2022Q2
11,JPY,67688771000000,23722290000000,6113655000000,6113655000000,3821356000000,None,43966480000000,12775052000000,None,1191966000000,1191966000000,None,None,14355162000000,2507248000000,791947000000,None,40533951000000,21842161000000,None,None,None,11187839000000,18691790000000,420928000000,15308519000000,11187839000000,None,26496358000000,6362230000000,1005728000000,26245969000000,None,26453126000000,397050000000,1380388700,2022Q1
12,JPY,63618063000000,21669893000000,5770225000000,5770225000000,3466674000000,None,41948170000000,12248311000000,None,1157947000000,1157947000000,None,None,14169645000000,1785656000000,743491000000,None,37763339000000,20182504000000,None,None,None,10685266000000,17580835000000,None,14437061000000,10685266000000,None,25122327000000,3730138000000,777839000000,24939554000000,-3217920000000,25748108000000,397050000000,1384553800,2021Q4
13,JPY,61758833000000,20687929000000,4954834000000,4954834000000,2924857000000,None,41070905000000,12152026000000,None,1136931000000,1136931000000,None,None,13929448000000,2887398000000,788610000000,None,36266420000000,19271934000000,None,None,None,10754902000000,16994486000000,None,13864894000000,10754902000000,None,24619796000000,3424252000000,745910000000,24610424000000,-3151411000000,25278473000000,397050000000,1392161500,2021Q3
14,JPY,61651149000000,21424490000000,5013426000000,5013426000000,3098874000000,None,40226661000000,11942239000000,None,1100561000000,1100561000000,None,None,13568800000000,2861753000000,890196000000,None,36634247000000,19629020000000,None,None,None,10529725000000,17005227000000,None,13935172000000,10529725000000,None,24464897000000,3492900000000,769031000000,24123041000000,-2923231000000,24655333000000,397050000000,1398029700,2021Q2
15,JPY,62267140000000,22776800000000,5100857000000,5100857000000,2888028000000,None,39490338000000,7195309000000,None,1108634000000,1108634000000,None,None,13244717000000,4215457000000,745069000000,None,37978811000000,21460466000000,None,None,None,12212060000000,16518345000000,360891000000,13447575000000,12212060000000,None,25659635000000,3454447000000,788454000000,23404547000000,-2901680000000,24104176000000,397050000000,1420220700,2021Q1
16,JPY,58010315000000,21676792000000,4479992000000,4479992000000,2619909000000,None,36333523000000,11155491000000,None,1057967000000,1057967000000,None,None,11994530000000,4205732000000,728806000000,None,35377237000000,20610241000000,None,None,None,12031321000000,14766996000000,None,11943533000000,12031321000000,None,23974854000000,3395340000000,767735000000,21804119000000,-2901627000000,23102819000000,397050000000,1420521400,2020Q4
17,JPY,56483801000000,21063746000000,5514438000000,5514438000000,2709366000000,None,35420056000000,11078391000000,None,1051104000000,1051104000000,None,None,11623644000000,3159565000000,575894000000,None,34687731000000,19743107000000,None,None,None,11399117000000,14944624000000,None,12151882000000,11399117000000,None,23550999000000,3279668000000,757798000000,21010831000000,-2901598000000,22553281000000,397050000000,1421519700,2020Q3
18,JPY,55916537000000,20442661000000,6801561000000,6801561000000,2449244000000,None,35473876000000,11065416000000,None,1059140000000,1059140000000,None,None,12004199000000,1960564000000,649934000000,None,34408870000000,18907220000000,None,None,None,11448283000000,15501650000000,None,12564205000000,11448283000000,None,24012488000000,3272211000000,845705000000,20713930000000,-2901577000000,22073722000000,397050000000,1396636847,2020Q2
19,JPY,52680436000000,18642531000000,4190518000000,4190518000000,2434918000000,None,34037905000000,6571110000000,None,374784000000,374784000000,None,None,11472104000000,1506951000000,1236225000000,None,31942754000000,17902377000000,None,None,None,9860071000000,14040377000000,None,11434219000000,9860071000000,None,21294290000000,5415979000000,821515000000,20060618000000,-3087106000000,23427613000000,397050000000,1410545500,2020Q1
20,JPY,53801134000000,19250341000000,3759240000000,3759240000000,2433401000000,None,34550793000000,11072068000000,0,0,0,0,None,11147207000000,2283684000000,1299082000000,None,32769328000000,18131982000000,None,None,None,9970324000000,14637346000000,0,10934987000000,9970324000000,None,20905311000000,1675911000000,1035377000000,20305523000000,-2977254000000,23368761000000,397050000000,1416273500,2019Q4
21,JPY,52240078000000,18976916000000,3979764000000,3979764000000,2576968000000,None,33263162000000,10929956000000,0,0,0,0,None,10613525000000,2211056000000,872710000000,None,31739505000000,17932260000000,None,None,None,9651791000000,13807245000000,0,10340214000000,9651791000000,None,19992005000000,1454390000000,903352000000,19795642000000,-2907078000000,22913956000000,397050000000,1426167500,2019Q3
22,JPY,52117436000000,19286535000000,3761800000000,3761800000000,2738140000000,None,32830901000000,10895094000000,0,0,0,0,None,10383764000000,2438937000000,935748000000,None,31876332000000,17901744000000,None,None,None,9600079000000,13974588000000,0,10549161000000,9600079000000,None,20149240000000,1475975000000,910964000000,19527680000000,-2661233000000,22326275000000,397050000000,1439546500,2019Q2
