,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Quarter
0,JPY,1006548000000,None,None,None,None,557785000000,1546595000000,None,None,None,None,-182338000000,None,None,None,None,525991000000,525991000000,None,None,None,None,None,None,None,None,2193276000000,2024Q4
1,JPY,1133516000000,None,None,None,None,552686000000,1358826000000,None,None,None,None,29038000000,None,None,None,None,0,0,None,None,None,None,-884492000000,None,None,None,573766000000,2024Q3
2,JPY,683661000000,None,None,None,None,575278000000,1497666000000,None,None,None,None,-318790000000,None,None,None,None,606338000000,606338000000,None,None,None,None,-18972000000,None,None,None,1333347000000,2024Q2
3,JPY,1420232000000,None,None,None,None,551673000000,1523406000000,None,-207529000000,None,None,863097000000,None,None,None,None,606338000000,606338000000,None,None,None,None,-39485000000,None,None,None,997691000000,2024Q1
4,JPY,508062000000,None,None,None,None,515432000000,1230573000000,None,None,None,None,1080426000000,None,None,None,None,405416000000,405416000000,None,None,None,None,-75077000000,None,None,None,1384103000000,2023Q4
5,JPY,919861000000,None,None,None,None,514152000000,1119656000000,None,None,None,-2651591000000,646893000000,None,None,None,None,474781000000,474781000000,None,None,None,None,-82130000000,None,None,None,1320631000000,2023Q3
6,JPY,1358218000000,None,None,None,None,505809000000,1174759000000,None,None,None,-1117054000000,-92858000000,None,None,None,None,474781000000,474781000000,None,None,None,None,-34377000000,None,None,None,1326890000000,2023Q2
7,JPY,1129153000000,None,None,None,None,505145000000,950461000000,None,-350550000000,None,-1598890000000,441001000000,None,None,None,None,727980000000,727980000000,None,None,None,None,-94522000000,None,None,None,528845000000,2023Q1
8,JPY,167126000000,None,None,None,None,518636000000,930201000000,None,None,None,-1513593000000,-96757000000,None,None,None,None,342188000000,342188000000,None,None,None,None,-336577000000,None,None,None,744566000000,2022Q4
9,JPY,894710000000,None,None,None,None,512757000000,920743000000,None,None,None,-782490000000,-326703000000,None,None,None,None,385792000000,385792000000,None,None,None,None,-74234000000,None,None,None,461303000000,2022Q3
10,JPY,764087000000,None,None,None,None,503366000000,904427000000,None,None,None,-450912000000,-73721000000,None,None,None,None,385792000000,385792000000,None,None,None,None,-121311000000,None,None,None,758253000000,2022Q2
11,JPY,1081107000000,None,None,None,None,479347000000,901922000000,None,-242769000000,None,-751736000000,-214298000000,None,None,None,None,415352000000,415352000000,None,None,None,None,-88391000000,None,None,None,490716000000,2022Q1
12,JPY,768728000000,None,None,None,None,471129000000,801438000000,None,-725285000000,None,390474000000,-432745000000,None,None,None,None,332419000000,332419000000,None,None,None,None,-66509000000,None,None,None,818842000000,2021Q4
13,JPY,913822000000,None,None,None,None,431626000000,987797000000,None,-725285000000,None,-843334000000,-128084000000,None,None,None,None,377453000000,377453000000,None,None,None,None,-228301000000,None,None,None,638516000000,2021Q3
14,JPY,958958000000,None,None,None,None,439778000000,1139087000000,None,-725285000000,None,627100000000,-1691389000000,None,None,None,None,377453000000,377453000000,None,None,None,None,-21517000000,None,None,None,926540000000,2021Q2
15,JPY,893073000000,None,None,None,None,426103000000,1017336000000,None,-242769000000,None,-995096000000,543108000000,None,None,None,None,330994000000,330994000000,None,None,None,None,1659511000000,None,None,None,783681000000,2021Q1
16,JPY,544575000000,None,None,None,None,407599000000,1041585000000,None,-242769000000,None,-1767258000000,164481000000,None,None,None,None,293576000000,293576000000,None,None,None,None,1659215000000,None,None,None,867508000000,2020Q4
17,JPY,616262000000,None,None,None,None,412544000000,889176000000,None,-242769000000,None,-1584204000000,-303572000000,None,None,None,None,331938000000,331938000000,None,None,None,None,-21000000,None,None,None,481741000000,2020Q3
