,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Quarter
0,JPY,2378909000000,12391095000000,10012186000000,10012186000000,1215274000000,1163635000000,None,11175821000000,None,46218000000,153790000000,107572000000,None,None,None,None,2698024000000,None,None,2213691000000,None,None,None,2193276000000,2024Q4
1,JPY,2438491000000,11444571000000,9006080000000,9006080000000,1155756000000,1282735000000,636454000000,1282735000000,None,59960000000,97145000000,37185000000,None,None,None,552686000000,859811000000,357983000000,None,501828000000,None,797618000000,1350304000000,573766000000,2024Q3
2,JPY,2428445000000,11837879000000,9409434000000,9409434000000,1308461000000,1119984000000,304600000000,1119984000000,None,157291000000,173800000000,16509000000,None,None,None,575278000000,1707321000000,508435000000,None,1363823000000,None,1308461000000,1883739000000,1333347000000,2024Q2
3,JPY,2250188000000,11072605000000,8822417000000,8822417000000,1112698000000,1137490000000,304273000000,1137490000000,None,50798000000,89616000000,24957000000,None,None,None,551673000000,1441064000000,568224000000,None,1039797000000,None,1466021000000,2017694000000,997691000000,2024Q1
4,JPY,2685290000000,12041103000000,9355813000000,9355813000000,1680944000000,1004347000000,289200000000,1004347000000,None,171912000000,206364000000,34452000000,None,None,None,515432000000,1835540000000,451437000000,None,1384103000000,None,1680944000000,2196376000000,1357814000000,2023Q4
5,JPY,2369936000000,11434786000000,9064850000000,9064850000000,1438394000000,931543000000,314100000000,931543000000,None,126852000000,364626000000,20961000000,None,None,None,514152000000,1800972000000,480341000000,None,1320631000000,None,1438393000000,1952545000000,1278056000000,2023Q3
6,JPY,2062904000000,10546831000000,8483927000000,8483927000000,1120900000000,942003000000,294800000000,942003000000,None,166788000000,606920000000,23339000000,None,None,None,505809000000,1720553000000,393663000000,None,1326890000000,None,1497116000000,2002925000000,1311372000000,2023Q2
7,JPY,1564845000000,9690265000000,8125420000000,8125420000000,626930000000,937914000000,331686000000,937914000000,None,55032000000,219520000000,16800000000,None,None,None,698333000000,799459000000,270612000000,None,528845000000,None,626930000000,1325263000000,552292000000,2023Q1
8,JPY,1933293000000,9754685000000,7821392000000,7821392000000,956652000000,976641000000,290100000000,976641000000,None,72201000000,110164000000,37963000000,None,None,None,798025000000,1034998000000,290432000000,None,744566000000,None,956652000000,1754677000000,727942000000,2022Q4
9,JPY,1423729000000,9218232000000,7794503000000,7794503000000,562789000000,860940000000,318500000000,860940000000,None,20573000000,262323000000,50988000000,None,None,None,404561000000,812528000000,351225000000,None,461303000000,None,562789000000,967350000000,434264000000,2022Q3
10,JPY,1391149000000,8491116000000,7099967000000,7099967000000,395396000000,812494000000,302200000000,812494000000,None,106431000000,460759000000,19362000000,None,None,None,503366000000,1021748000000,263496000000,None,758253000000,None,395396000000,898762000000,736820000000,2022Q2
11,JPY,1357081000000,8112466000000,6755385000000,6755385000000,338870000000,893220000000,279362000000,893220000000,None,63900000000,333713000000,6906000000,None,None,None,479347000000,752979000000,262264000000,None,490716000000,None,338870000000,818217000000,533888000000,2022Q1
12,JPY,1526000000000,7785742000000,6259742000000,6259742000000,784370000000,741629000000,294800000000,741629000000,None,127349000000,136542000000,9193000000,None,None,None,471129000000,1093508000000,274665000000,None,818842000000,None,736571000000,1207700000000,791738000000,2021Q4
13,JPY,1438953000000,7545741000000,6106788000000,6106788000000,749976000000,688978000000,276000000000,688978000000,None,34933000000,151967000000,8875000000,None,None,None,431626000000,886825000000,248310000000,None,638515000000,None,732500000000,1164126000000,626652000000,2021Q3
14,JPY,1649638000000,7935557000000,6285919000000,6285919000000,997489000000,652150000000,274100000000,652150000000,None,64581000000,72065000000,7484000000,None,None,None,439778000000,1257220000000,330679000000,None,926540000000,None,971567000000,1411345000000,897832000000,2021Q2
15,JPY,1478095000000,7689337000000,6211242000000,6211242000000,689826000000,788269000000,257024000000,788269000000,None,199934000000,214375000000,14441000000,None,None,None,426103000000,1062365000000,278684000000,None,783681000000,None,1048856000000,1474959000000,777197000000,2021Q1
16,JPY,1656703000000,8150033000000,6493330000000,6493330000000,987941000000,668762000000,None,668762000000,None,43020000000,52879000000,9859000000,None,None,None,407599000000,1141174000000,273666000000,None,867508000000,None,988563000000,1396162000000,838696000000,2020Q4
17,JPY,1148147000000,6774427000000,5626280000000,5626280000000,506061000000,642086000000,None,642086000000,None,39960000000,108227000000,13225000000,None,None,None,412544000000,610582000000,128841000000,None,481741000000,None,526756000000,939300000000,470525000000,2020Q3
18,JPY,549428000000,4600796000000,4051368000000,4051368000000,13920000000,535508000000,None,535508000000,None,104777000000,100715000000,10012000000,None,None,None,398044000000,118233000000,-31214000000,None,149447000000,None,5410000000,403454000000,158843000000,2020Q2
19,JPY,1220614000000,7099828000000,5879214000000,5879214000000,384086000000,836528000000,1096019000000,836528000000,None,26137000000,395645000000,13902000000,None,None,None,411613000000,38828000000,-57119000000,None,63677000000,None,474512000000,886125000000,63173000000,2020Q1
20,JPY,1395910000000,7544569000000,6148659000000,6148659000000,654447000000,741463000000,0,741463000000,None,63141000000,297043000000,3469000000,None,0,None,409713000000,932294000000,265901000000,None,763863000000,None,701861000000,1111574000000,738034000000,2019Q4
21,JPY,1355103000000,7639504000000,6284401000000,6284401000000,662385000000,692718000000,0,692718000000,None,41335000000,126315000000,10495000000,None,0,None,385705000000,741735000000,225019000000,None,613115000000,None,700733000000,1086438000000,592002000000,2019Q3
22,JPY,1436001000000,7646091000000,6210090000000,6210090000000,741951000000,694050000000,0,694050000000,None,70040000000,109393000000,4351000000,None,0,None,398352000000,841750000000,249629000000,None,701674000000,None,813338000000,1211690000000,682974000000,2019Q2
23,JPY,1300666000000,7750133000000,6449467000000,6449467000000,529571000000,771095000000,1048882000000,771095000000,None,27522000000,41908000000,7570000000,None,0,None,470763000000,559686000000,180205000000,None,484682000000,None,552870000000,1023633000000,459566000000,2019Q1
24,JPY,1453381000000,7801542000000,6348161000000,6348161000000,676129000000,777252000000,0,777252000000,None,None,None,8905000000,None,0,None,456305000000,176970000000,6148000000,None,1408.85,None,741548000000,1197853000000,180915000000,2018Q4
25,JPY,1315267000000,7311273000000,5996006000000,5996006000000,579158000000,736109000000,0,736109000000,None,None,None,8164000000,None,0,None,451853000000,734945000000,227428000000,None,5385727452.27,None,604725000000,1056578000000,585086000000,2018Q3
26,JPY,1374582000000,7362733000000,5988151000000,5988151000000,682687000000,691895000000,0,691895000000,None,None,None,3439000000,None,0,None,413454000000,813864000000,246163000000,None,6170124892.92,None,743054000000,1156508000000,657306000000,2018Q2
27,JPY,1507615000000,7582536000000,6074921000000,6074921000000,629676000000,877939000000,249269000000,877939000000,None,None,None,7537000000,None,None,None,453110000000,617316000000,226097000000,None,4744803815.10,None,675944000000,1129054000000,480806000000,2018Q1
28,JPY,1407617000000,7605767000000,6198150000000,6198150000000,673645000000,733972000000,2344000000,733972000000,None,None,None,6508000000,None,None,None,446648000000,750940000000,-95938000000,None,1752973000000,None,737512000000,1184160000000,941849000000,2017Q4
29,JPY,1280582000000,7143601000000,5863019000000,5863019000000,522247000000,758335000000,2449000000,758335000000,None,None,None,9153000000,None,None,None,433657000000,572825000000,188849000000,None,-1414039000000,None,550950000000,984607000000,458272000000,2017Q3
30,JPY,1294543000000,7047606000000,5753063000000,5753063000000,574294000000,720249000000,2439000000,720249000000,None,None,None,4388000000,None,None,None,400618000000,679348000000,185398000000,None,631752000000,None,660945000000,1061563000000,613056000000,2017Q2
31,JPY,1266455000000,7442473000000,6176018000000,6176018000000,438921000000,827534000000,243628000000,827534000000,None,None,None,9765000000,None,None,None,436207000000,429753000000,103656000000,None,1926985000000,None,448453000000,884660000000,398405000000,2017Q1
32,JPY,1116520000000,7084187000000,5967667000000,5967667000000,438586000000,677934000000,1538000000,677934000000,None,None,None,8475000000,None,None,None,407699000000,587538000000,170320000000,None,0,None,525570000000,933269000000,486531000000,2016Q4
