,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,Quarter
0,0.73,0.76,-0.03,-3.9474,post-market,2025Q1
1,0.72,0.58,0.14,24.1379,post-market,2024Q4
2,0.52,0.56,-0.04,-7.1429,post-market,2024Q3
3,0.45,0.51,-0.06,-11.7647,post-market,2024Q2
4,0.71,0.74,-0.03,-4.0541,post-market,2024Q1
5,0.66,0.72,-0.06,-8.3333,post-market,2023Q4
6,0.91,0.82,0.09,10.9756,post-market,2023Q3
7,0.85,0.85,0,0,post-market,2023Q2
8,1.19,1.13,0.06,5.3097,post-market,2023Q1
9,1.05,0.99,0.06,6.0606,post-market,2022Q4
10,0.76,0.6,0.16,26.6667,post-market,2022Q3
11,1.07,0.75,0.32,42.6667,post-market,2022Q2
12,0.85,0.79,0.06,7.5949,post-market,2022Q1
13,0.62,0.53,0.09,16.9811,post-market,2021Q4
14,0.48,0.33,0.15,45.4545,post-market,2021Q3
15,0.31,0.26,0.05,19.2308,post-market,2021Q2
16,0.27,0.34,-0.07,-20.5882,post-market,2021Q1
17,0.25,0.19,0.06,31.5789,post-market,2020Q4
18,0.15,-0.01,0.16,1600,post-market,2020Q3
19,0.08,-0.02,0.1,500,post-market,2020Q2
20,0.14,0.11,0.03,27.2727,post-market,2020Q1
21,0.12,-0.03,0.15,500,post-market,2019Q4
22,-0.07,-0.02,-0.05,-250,post-market,2019Q3
23,-0.12,-0.05,-0.07,-140,post-market,2019Q2
24,0.13,0.08,0.05,62.5,post-market,2019Q1
25,0.19,0.03,0.16,533.3333,post-market,2018Q4
26,-0.16,-0.2,0.04,20,post-market,2018Q3
27,-0.22,-0.24,0.02,8.3333,post-market,2018Q2
28,-0.2,-0.21,0.01,4.7619,post-market,2018Q1
29,-0.19,-0.15,-0.04,-26.6667,post-market,2017Q4
30,-0.09,-0.12,0.03,25,post-market,2017Q3
31,-0.09,-0.09,0,0,post-market,2017Q2
32,-0.14,-0.21,0.07,33.3333,post-market,2017Q1
33,0.14,-0.08,0.22,275,post-market,2016Q4
34,-0.07,-0.04,-0.03,-75,post-market,2016Q3
35,-0.04,-0.05,0.01,20,post-market,2016Q2
36,-0.87,0.1,-0.97,-970,post-market,2016Q1
37,-0.04,-0.04,0,0,post-market,2015Q4
38,-0.03,-0.6,0.57,95,post-market,2015Q3
39,-0.36,-0.5,0.14,28,post-market,2015Q2
40,-0.01,0.02,-0.03,-150,post-market,2015Q1
41,0.02,-0.01,0.03,300,post-market,2014Q4
42,0.01,0.04,-0.03,-75,pre-market,2014Q3
43,0.01,0.1,-0.09,-90,pre-market,2014Q2
44,0.02,0.01,0.01,100,pre-market,2014Q1
45,0.01,0.01,0,0,pre-market,2013Q4
46,0.01,-0.01,0.02,200,pre-market,2013Q3
47,0.01,0.04,-0.03,-75,pre-market,2013Q2
48,-0.04,-0.04,0,0,pre-market,2013Q1
49,-0.06,-0.06,0,0,pre-market,2012Q4
50,-0.06,-0.06,0,0,pre-market,2012Q3
51,-0.05,-0.05,0,0,pre-market,2012Q2
52,-0.05,-0.04,-0.01,-25,pre-market,2012Q1
53,-0.04,-0.04,0,0,pre-market,2011Q4
54,-0.04,-0.03,-0.01,-33.3333,pre-market,2011Q3
55,-0.03,-0.03,0,0,pre-market,2011Q2
56,-0.03,-0.03,0,0,pre-market,2011Q1
57,-0.02,-0.03,0.01,33.3333,pre-market,2010Q4
58,-0.0271,None,0,None,pre-market,2010Q3
